Extended_Flutes_20-Nov-20_4:17:55 PM	Left_PQC2_LinewidthStrip
Temperature(C)= 22.0	Humidity(%)= 7.8
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-3	-131.090E-3
-950.000E-6	-130.440E-3
-900.000E-6	-127.820E-3
-850.000E-6	-123.230E-3
-800.000E-6	-116.670E-3
-750.000E-6	-110.110E-3
-700.000E-6	-103.560E-3
-650.000E-6	-97.000E-3
-600.000E-6	-90.450E-3
-550.000E-6	-83.890E-3
-500.000E-6	-77.330E-3
-450.000E-6	-70.780E-3
-400.000E-6	-64.220E-3
-350.000E-6	-57.670E-3
-300.000E-6	-51.110E-3
-250.000E-6	-44.560E-3
-200.000E-6	-38.000E-3
-150.000E-6	-31.440E-3
-100.000E-6	-24.890E-3
-50.000E-6	-18.330E-3
0.000E+0	-11.770E-3
50.000E-6	-7.840E-3
100.000E-6	-620.000E-6
150.000E-6	6.580E-3
200.000E-6	13.790E-3
250.000E-6	21.000E-3
300.000E-6	27.560E-3
350.000E-6	34.120E-3
400.000E-6	40.680E-3
450.000E-6	47.230E-3
500.000E-6	53.790E-3
550.000E-6	60.350E-3
600.000E-6	66.910E-3
650.000E-6	73.460E-3
700.000E-6	77.400E-3
750.000E-6	84.610E-3
800.000E-6	91.820E-3
850.000E-6	99.040E-3
900.000E-6	106.250E-3
950.000E-6	112.810E-3
1.000E-3	119.370E-3
