Extended_Flutes_18-Nov-20_1:04:58 PM	Right_PQC2_LinewidthStrip
Temperature(C)= 22.2	Humidity(%)= 6.5
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-3	-131.920E-3
-950.000E-6	-131.260E-3
-900.000E-6	-128.620E-3
-850.000E-6	-125.980E-3
-800.000E-6	-119.390E-3
-750.000E-6	-114.770E-3
-700.000E-6	-109.490E-3
-650.000E-6	-100.920E-3
-600.000E-6	-92.990E-3
-550.000E-6	-85.080E-3
-500.000E-6	-77.820E-3
-450.000E-6	-71.220E-3
-400.000E-6	-64.630E-3
-350.000E-6	-58.030E-3
-300.000E-6	-51.430E-3
-250.000E-6	-47.470E-3
-200.000E-6	-40.220E-3
-150.000E-6	-32.960E-3
-100.000E-6	-25.700E-3
-50.000E-6	-18.440E-3
0.000E+0	-11.840E-3
50.000E-6	-5.240E-3
100.000E-6	1.340E-3
150.000E-6	7.940E-3
200.000E-6	14.540E-3
250.000E-6	21.140E-3
300.000E-6	27.740E-3
350.000E-6	34.340E-3
400.000E-6	40.940E-3
450.000E-6	47.530E-3
500.000E-6	54.130E-3
550.000E-6	60.730E-3
600.000E-6	67.330E-3
650.000E-6	73.930E-3
700.000E-6	80.530E-3
750.000E-6	87.120E-3
800.000E-6	91.080E-3
850.000E-6	98.340E-3
900.000E-6	102.970E-3
950.000E-6	110.880E-3
1.000E-3	118.800E-3
