Extended_Flutes_20-Nov-20_5:25:05 PM	Right_PQC2_LinewidthStrip
Temperature(C)= 22.1	Humidity(%)= 11.0
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-3	-132.430E-3
-950.000E-6	-131.770E-3
-900.000E-6	-130.440E-3
-850.000E-6	-125.810E-3
-800.000E-6	-119.180E-3
-750.000E-6	-111.900E-3
-700.000E-6	-104.610E-3
-650.000E-6	-97.990E-3
-600.000E-6	-91.360E-3
-550.000E-6	-84.740E-3
-500.000E-6	-78.120E-3
-450.000E-6	-71.500E-3
-400.000E-6	-64.870E-3
-350.000E-6	-58.250E-3
-300.000E-6	-51.630E-3
-250.000E-6	-45.010E-3
-200.000E-6	-38.380E-3
-150.000E-6	-31.760E-3
-100.000E-6	-25.130E-3
-50.000E-6	-21.160E-3
0.000E+0	-13.870E-3
50.000E-6	-6.590E-3
100.000E-6	690.000E-6
150.000E-6	7.970E-3
200.000E-6	14.600E-3
250.000E-6	21.220E-3
300.000E-6	27.840E-3
350.000E-6	34.470E-3
400.000E-6	41.090E-3
450.000E-6	47.720E-3
500.000E-6	54.340E-3
550.000E-6	60.970E-3
600.000E-6	67.590E-3
650.000E-6	74.210E-3
700.000E-6	80.840E-3
750.000E-6	87.460E-3
800.000E-6	94.080E-3
850.000E-6	100.710E-3
900.000E-6	107.330E-3
950.000E-6	113.960E-3
1.000E-3	120.580E-3
