Extended_Flutes_12-Nov-20_2:41:23 PM	Right_PQC2_LinewidthStrip
Temperature(C)= 22.6	Humidity(%)= 6.4
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-3	-130.950E-3
-950.000E-6	-130.290E-3
-900.000E-6	-127.670E-3
-850.000E-6	-125.050E-3
-800.000E-6	-118.500E-3
-750.000E-6	-113.920E-3
-700.000E-6	-108.680E-3
-650.000E-6	-100.170E-3
-600.000E-6	-92.310E-3
-550.000E-6	-84.450E-3
-500.000E-6	-79.870E-3
-450.000E-6	-72.670E-3
-400.000E-6	-65.460E-3
-350.000E-6	-60.880E-3
-300.000E-6	-53.020E-3
-250.000E-6	-45.820E-3
-200.000E-6	-41.230E-3
-150.000E-6	-35.990E-3
-100.000E-6	-30.760E-3
-50.000E-6	-22.240E-3
0.000E+0	-13.730E-3
50.000E-6	-5.870E-3
100.000E-6	1.330E-3
150.000E-6	7.870E-3
200.000E-6	14.420E-3
250.000E-6	20.970E-3
300.000E-6	27.520E-3
350.000E-6	34.070E-3
400.000E-6	38.000E-3
450.000E-6	45.200E-3
500.000E-6	52.410E-3
550.000E-6	59.610E-3
600.000E-6	66.820E-3
650.000E-6	73.370E-3
700.000E-6	79.920E-3
750.000E-6	83.850E-3
800.000E-6	91.050E-3
850.000E-6	98.250E-3
900.000E-6	105.460E-3
950.000E-6	110.050E-3
1.000E-3	117.250E-3
