Extended_Flutes_19-Nov-20_3:17:02 PM	Left_PQC2_LinewidthStrip
Temperature(C)= 22.2	Humidity(%)= 7.2
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-3	-132.000E-3
-950.000E-6	-131.350E-3
-900.000E-6	-130.030E-3
-850.000E-6	-127.400E-3
-800.000E-6	-120.800E-3
-750.000E-6	-112.870E-3
-700.000E-6	-104.950E-3
-650.000E-6	-100.330E-3
-600.000E-6	-95.710E-3
-550.000E-6	-87.800E-3
-500.000E-6	-79.890E-3
-450.000E-6	-71.980E-3
-400.000E-6	-64.720E-3
-350.000E-6	-58.120E-3
-300.000E-6	-51.520E-3
-250.000E-6	-44.910E-3
-200.000E-6	-38.300E-3
-150.000E-6	-31.690E-3
-100.000E-6	-25.090E-3
-50.000E-6	-18.480E-3
0.000E+0	-11.880E-3
50.000E-6	-5.270E-3
100.000E-6	1.330E-3
150.000E-6	7.930E-3
200.000E-6	14.510E-3
250.000E-6	21.100E-3
300.000E-6	27.700E-3
350.000E-6	34.310E-3
400.000E-6	40.930E-3
450.000E-6	47.550E-3
500.000E-6	54.150E-3
550.000E-6	60.720E-3
600.000E-6	67.300E-3
650.000E-6	73.890E-3
700.000E-6	80.470E-3
750.000E-6	87.070E-3
800.000E-6	93.580E-3
850.000E-6	100.160E-3
900.000E-6	106.780E-3
950.000E-6	113.360E-3
1.000E-3	120.010E-3
