Extended_Flutes_17-Nov-20_5:48:21 PM	Right_PQC2_LinewidthStrip
Temperature(C)= 22.9	Humidity(%)= 6.2
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-3	-131.570E-3
-950.000E-6	-130.910E-3
-900.000E-6	-129.590E-3
-850.000E-6	-124.990E-3
-800.000E-6	-118.410E-3
-750.000E-6	-111.180E-3
-700.000E-6	-106.570E-3
-650.000E-6	-99.330E-3
-600.000E-6	-92.090E-3
-550.000E-6	-84.860E-3
-500.000E-6	-77.620E-3
-450.000E-6	-71.040E-3
-400.000E-6	-64.450E-3
-350.000E-6	-57.880E-3
-300.000E-6	-53.930E-3
-250.000E-6	-49.320E-3
-200.000E-6	-41.420E-3
-150.000E-6	-33.530E-3
-100.000E-6	-25.640E-3
-50.000E-6	-21.030E-3
0.000E+0	-13.790E-3
50.000E-6	-6.550E-3
100.000E-6	680.000E-6
150.000E-6	7.920E-3
200.000E-6	14.510E-3
250.000E-6	21.090E-3
300.000E-6	27.680E-3
350.000E-6	34.250E-3
400.000E-6	40.830E-3
450.000E-6	47.400E-3
500.000E-6	53.980E-3
550.000E-6	60.550E-3
600.000E-6	64.500E-3
650.000E-6	71.730E-3
700.000E-6	78.960E-3
750.000E-6	86.200E-3
800.000E-6	93.450E-3
850.000E-6	100.050E-3
900.000E-6	106.630E-3
950.000E-6	113.210E-3
1.000E-3	119.790E-3
