Extended_Flutes_20-Nov-20_10:53:07 AM	Left_PQC2_LinewidthStrip
Temperature(C)= 20.2	Humidity(%)= 6.9
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-3	-129.490E-3
-950.000E-6	-129.490E-3
-900.000E-6	-126.900E-3
-850.000E-6	-122.360E-3
-800.000E-6	-115.890E-3
-750.000E-6	-111.360E-3
-700.000E-6	-104.240E-3
-650.000E-6	-97.110E-3
-600.000E-6	-89.990E-3
-550.000E-6	-82.860E-3
-500.000E-6	-76.390E-3
-450.000E-6	-69.910E-3
-400.000E-6	-63.430E-3
-350.000E-6	-56.960E-3
-300.000E-6	-50.480E-3
-250.000E-6	-44.010E-3
-200.000E-6	-37.540E-3
-150.000E-6	-31.070E-3
-100.000E-6	-24.580E-3
-50.000E-6	-20.690E-3
0.000E+0	-13.570E-3
50.000E-6	-6.440E-3
100.000E-6	660.000E-6
150.000E-6	7.780E-3
200.000E-6	14.260E-3
250.000E-6	20.740E-3
300.000E-6	27.220E-3
350.000E-6	33.690E-3
400.000E-6	40.170E-3
450.000E-6	46.650E-3
500.000E-6	53.120E-3
550.000E-6	59.580E-3
600.000E-6	66.060E-3
650.000E-6	72.530E-3
700.000E-6	79.020E-3
750.000E-6	85.500E-3
800.000E-6	91.980E-3
850.000E-6	98.450E-3
900.000E-6	104.930E-3
950.000E-6	111.410E-3
1.000E-3	117.880E-3
