Extended_Flutes_17-Nov-20_4:50:54 PM	Left_PQC2_LinewidthStrip
Temperature(C)= 22.7	Humidity(%)= 9.8
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-3	-130.870E-3
-950.000E-6	-130.210E-3
-900.000E-6	-127.590E-3
-850.000E-6	-124.980E-3
-800.000E-6	-118.430E-3
-750.000E-6	-111.230E-3
-700.000E-6	-104.040E-3
-650.000E-6	-96.830E-3
-600.000E-6	-90.290E-3
-550.000E-6	-83.750E-3
-500.000E-6	-77.200E-3
-450.000E-6	-70.660E-3
-400.000E-6	-64.110E-3
-350.000E-6	-57.570E-3
-300.000E-6	-51.020E-3
-250.000E-6	-44.480E-3
-200.000E-6	-40.550E-3
-150.000E-6	-33.350E-3
-100.000E-6	-26.150E-3
-50.000E-6	-21.570E-3
0.000E+0	-13.720E-3
50.000E-6	-6.520E-3
100.000E-6	670.000E-6
150.000E-6	5.250E-3
200.000E-6	12.450E-3
250.000E-6	19.650E-3
300.000E-6	26.850E-3
350.000E-6	34.060E-3
400.000E-6	40.610E-3
450.000E-6	47.160E-3
500.000E-6	53.710E-3
550.000E-6	60.250E-3
600.000E-6	66.800E-3
650.000E-6	73.350E-3
700.000E-6	79.900E-3
750.000E-6	86.440E-3
800.000E-6	92.990E-3
850.000E-6	99.530E-3
900.000E-6	103.450E-3
950.000E-6	110.640E-3
1.000E-3	117.830E-3
