Extended_Flutes_09-Nov-20_7:08:11 PM	Right_PQC2_LinewidthStrip
Temperature(C)= 24.5	Humidity(%)= 6.2
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-3	-132.640E-3
-950.000E-6	-131.980E-3
-900.000E-6	-129.320E-3
-850.000E-6	-124.680E-3
-800.000E-6	-120.700E-3
-750.000E-6	-113.400E-3
-700.000E-6	-106.110E-3
-650.000E-6	-98.810E-3
-600.000E-6	-91.510E-3
-550.000E-6	-84.880E-3
-500.000E-6	-78.240E-3
-450.000E-6	-71.610E-3
-400.000E-6	-64.980E-3
-350.000E-6	-58.340E-3
-300.000E-6	-51.710E-3
-250.000E-6	-47.730E-3
-200.000E-6	-40.430E-3
-150.000E-6	-33.130E-3
-100.000E-6	-28.490E-3
-50.000E-6	-23.180E-3
0.000E+0	-15.220E-3
50.000E-6	-7.260E-3
100.000E-6	690.000E-6
150.000E-6	7.980E-3
200.000E-6	14.610E-3
250.000E-6	21.240E-3
300.000E-6	27.870E-3
350.000E-6	34.500E-3
400.000E-6	41.130E-3
450.000E-6	47.760E-3
500.000E-6	54.390E-3
550.000E-6	61.020E-3
600.000E-6	67.650E-3
650.000E-6	74.280E-3
700.000E-6	80.920E-3
750.000E-6	87.550E-3
800.000E-6	94.180E-3
850.000E-6	100.810E-3
900.000E-6	107.440E-3
950.000E-6	111.420E-3
1.000E-3	118.710E-3
