Extended_Flutes_17-Nov-20_2:35:19 PM	Left_PQC2_LinewidthStrip
Temperature(C)= 21.1	Humidity(%)= 9.5
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-3	-130.130E-3
-950.000E-6	-129.480E-3
-900.000E-6	-126.880E-3
-850.000E-6	-122.320E-3
-800.000E-6	-115.820E-3
-750.000E-6	-111.910E-3
-700.000E-6	-104.760E-3
-650.000E-6	-100.200E-3
-600.000E-6	-92.390E-3
-550.000E-6	-84.580E-3
-500.000E-6	-77.420E-3
-450.000E-6	-70.260E-3
-400.000E-6	-63.750E-3
-350.000E-6	-57.240E-3
-300.000E-6	-50.740E-3
-250.000E-6	-46.830E-3
-200.000E-6	-39.670E-3
-150.000E-6	-32.520E-3
-100.000E-6	-27.960E-3
-50.000E-6	-22.750E-3
0.000E+0	-14.940E-3
50.000E-6	-7.130E-3
100.000E-6	670.000E-6
150.000E-6	7.830E-3
200.000E-6	14.340E-3
250.000E-6	20.850E-3
300.000E-6	27.360E-3
350.000E-6	33.870E-3
400.000E-6	40.380E-3
450.000E-6	46.890E-3
500.000E-6	53.400E-3
550.000E-6	59.910E-3
600.000E-6	66.420E-3
650.000E-6	72.930E-3
700.000E-6	79.440E-3
750.000E-6	85.950E-3
800.000E-6	92.460E-3
850.000E-6	98.970E-3
900.000E-6	105.480E-3
950.000E-6	111.990E-3
1.000E-3	118.500E-3
