Extended_Flutes_19-Nov-20_4:15:14 PM	Right_PQC2_LinewidthStrip
Temperature(C)= 22.2	Humidity(%)= 6.1
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-3	-131.890E-3
-950.000E-6	-131.230E-3
-900.000E-6	-129.910E-3
-850.000E-6	-127.270E-3
-800.000E-6	-120.680E-3
-750.000E-6	-115.400E-3
-700.000E-6	-106.830E-3
-650.000E-6	-98.910E-3
-600.000E-6	-91.650E-3
-550.000E-6	-84.400E-3
-500.000E-6	-77.800E-3
-450.000E-6	-71.210E-3
-400.000E-6	-64.610E-3
-350.000E-6	-58.010E-3
-300.000E-6	-51.420E-3
-250.000E-6	-44.820E-3
-200.000E-6	-38.230E-3
-150.000E-6	-31.630E-3
-100.000E-6	-25.030E-3
-50.000E-6	-21.070E-3
0.000E+0	-13.820E-3
50.000E-6	-9.200E-3
100.000E-6	-1.280E-3
150.000E-6	3.990E-3
200.000E-6	11.900E-3
250.000E-6	19.820E-3
300.000E-6	24.440E-3
350.000E-6	32.350E-3
400.000E-6	39.610E-3
450.000E-6	46.870E-3
500.000E-6	54.120E-3
550.000E-6	60.720E-3
600.000E-6	67.320E-3
650.000E-6	73.910E-3
700.000E-6	80.510E-3
750.000E-6	87.110E-3
800.000E-6	93.710E-3
850.000E-6	100.310E-3
900.000E-6	106.900E-3
950.000E-6	113.500E-3
1.000E-3	120.100E-3
