Extended_Flutes_18-Nov-20_12:06:39 PM	Left_PQC2_LinewidthStrip
Temperature(C)= 21.7	Humidity(%)= 9.0
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-3	-131.550E-3
-950.000E-6	-131.550E-3
-900.000E-6	-130.230E-3
-850.000E-6	-125.630E-3
-800.000E-6	-119.050E-3
-750.000E-6	-111.150E-3
-700.000E-6	-106.550E-3
-650.000E-6	-101.940E-3
-600.000E-6	-94.050E-3
-550.000E-6	-86.150E-3
-500.000E-6	-78.260E-3
-450.000E-6	-71.020E-3
-400.000E-6	-64.440E-3
-350.000E-6	-57.870E-3
-300.000E-6	-51.290E-3
-250.000E-6	-44.710E-3
-200.000E-6	-38.130E-3
-150.000E-6	-31.550E-3
-100.000E-6	-24.970E-3
-50.000E-6	-21.020E-3
0.000E+0	-13.780E-3
50.000E-6	-6.540E-3
100.000E-6	690.000E-6
150.000E-6	7.920E-3
200.000E-6	14.500E-3
250.000E-6	21.080E-3
300.000E-6	27.660E-3
350.000E-6	34.240E-3
400.000E-6	40.820E-3
450.000E-6	47.410E-3
500.000E-6	51.360E-3
550.000E-6	58.590E-3
600.000E-6	65.830E-3
650.000E-6	73.070E-3
700.000E-6	80.310E-3
750.000E-6	86.890E-3
800.000E-6	93.470E-3
850.000E-6	100.050E-3
900.000E-6	106.640E-3
950.000E-6	113.220E-3
1.000E-3	119.800E-3
