Extended_Flutes_17-Nov-20_4:50:54 PM	Left_PQC1_DiodeQuarter_IV	
Temperature(C)= 22.6	Humidity(%)= 13.7	Bias(V)= 0.000E+0
Current_Limit(A) = 15.000E-6	Settling_time(s) = 1.0	
		
Voltage (V)	Current (A)
0.000E+0	466.886E-9
-10.000E+0	450.300E-9
-20.000E+0	419.681E-9
-30.000E+0	347.496E-9
-40.000E+0	246.554E-9
-50.000E+0	149.037E-9
-60.000E+0	56.492E-9
-70.000E+0	9.432E-9
-80.000E+0	914.049E-12
-90.000E+0	56.968E-12
-100.000E+0	16.045E-12
-110.000E+0	9.452E-12
-120.000E+0	8.624E-12
-130.000E+0	8.645E-12
-140.000E+0	8.767E-12
-150.000E+0	8.851E-12
-160.000E+0	9.019E-12
-170.000E+0	9.167E-12
-180.000E+0	9.461E-12
-190.000E+0	9.539E-12
-200.000E+0	9.753E-12
-210.000E+0	10.014E-12
-220.000E+0	10.280E-12
-230.000E+0	10.506E-12
-240.000E+0	10.653E-12
-250.000E+0	10.749E-12
-260.000E+0	10.886E-12
-270.000E+0	10.955E-12
-280.000E+0	11.031E-12
-290.000E+0	11.122E-12
-300.000E+0	11.182E-12
-310.000E+0	11.278E-12
-320.000E+0	14.763E-12
-330.000E+0	12.442E-12
-340.000E+0	12.326E-12
-350.000E+0	12.619E-12
-360.000E+0	13.025E-12
-370.000E+0	13.930E-12
-380.000E+0	14.860E-12
-390.000E+0	17.671E-12
-400.000E+0	22.613E-12
-410.000E+0	29.295E-12
-420.000E+0	38.980E-12
-430.000E+0	51.972E-12
-440.000E+0	67.747E-12
-450.000E+0	85.507E-12
-460.000E+0	105.287E-12
-470.000E+0	128.227E-12
-480.000E+0	151.576E-12
-490.000E+0	178.256E-12
-500.000E+0	208.690E-12
-510.000E+0	238.407E-12
-520.000E+0	278.223E-12
-530.000E+0	320.429E-12
-540.000E+0	367.401E-12
-550.000E+0	421.761E-12
-560.000E+0	480.780E-12
-570.000E+0	552.284E-12
-580.000E+0	625.788E-12
-590.000E+0	711.178E-12
-600.000E+0	802.719E-12
-610.000E+0	908.975E-12
-620.000E+0	1.026E-9
-630.000E+0	1.156E-9
-640.000E+0	1.298E-9
-650.000E+0	1.449E-9
-660.000E+0	1.607E-9
-670.000E+0	1.669E-9
-680.000E+0	1.503E-9
-690.000E+0	1.363E-9
-700.000E+0	1.255E-9
