Name,V_fd [V],C_min [F],N_sub [$cm^2$],d [m]
VPX33234_011_PSS_EE_Left,1.75E+02,3.64E-12,1.96E+11,4.08E+01
VPX33234_011_PSS_EE_Right,1.76E+02,3.69E-12,2.13E+11,4.03E+01
VPX33234_012_PSS_EE_Left,1.77E+02,3.65E-12,1.99E+11,4.07E+01
VPX33234_012_PSS_EE_Right,1.75E+02,3.69E-12,2.00E+11,4.03E+01
VPX33234_013_PSS_EE_Left,1.75E+02,3.66E-12,1.83E+11,4.06E+01
VPX33234_013_PSS_EE_Right,1.75E+02,3.69E-12,2.13E+11,4.03E+01
VPX33234_014_PSS_EE_Left,1.78E+02,3.65E-12,2.13E+11,4.07E+01
VPX33234_014_PSS_EE_Right,1.75E+02,3.70E-12,2.08E+11,4.02E+01
VPX33234_015_PSS_EE_Left,1.78E+02,3.67E-12,2.00E+11,4.04E+01
VPX33234_012_PSS_WW_Right,1.94E+02,4.63E-12,2.68E+11,3.21E+01
VPX33234_013_PSS_WW_Left,2.43E+02,3.66E-12,3.04E+11,4.06E+01
VPX33234_013_PSS_WW_Right,2.05E+02,3.64E-12,1.44E+11,4.08E+01
VPX33234_015_PSS_WW_Left,2.19E+02,3.65E-12,2.11E+11,4.07E+01
VPX33234_015_PSS_WW_Right,1.76E+02,3.74E-12,1.35E+11,3.97E+01
