Extended_Flutes_20-Nov-20_1:24:43 PM	Left_PQC4_CCStrip_IV
Temperature(C)= 21.7	Humidity(%)= 6.0
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-176.570E-3
-1.900E-6	-175.700E-3
-1.800E-6	-172.290E-3
-1.700E-6	-166.290E-3
-1.600E-6	-157.680E-3
-1.500E-6	-148.980E-3
-1.400E-6	-140.190E-3
-1.300E-6	-131.350E-3
-1.200E-6	-122.450E-3
-1.100E-6	-113.530E-3
-1.000E-6	-104.590E-3
-900.000E-9	-95.630E-3
-800.000E-9	-86.630E-3
-700.000E-9	-81.220E-3
-600.000E-9	-71.320E-3
-500.000E-9	-61.400E-3
-400.000E-9	-51.520E-3
-300.000E-9	-41.630E-3
-200.000E-9	-32.610E-3
-100.000E-9	-23.590E-3
0.000E+0	-14.540E-3
100.000E-9	-5.520E-3
200.000E-9	3.490E-3
300.000E-9	12.540E-3
400.000E-9	21.540E-3
500.000E-9	30.590E-3
600.000E-9	39.620E-3
700.000E-9	48.660E-3
800.000E-9	57.680E-3
900.000E-9	66.760E-3
1.000E-6	75.750E-3
1.100E-6	84.740E-3
1.200E-6	93.720E-3
1.300E-6	102.750E-3
1.400E-6	111.830E-3
1.500E-6	120.870E-3
1.600E-6	129.880E-3
1.700E-6	138.920E-3
1.800E-6	147.950E-3
1.900E-6	156.990E-3
2.000E-6	166.020E-3
