Extended_Flutes_18-Nov-20_2:17:50 PM	Left_PQC4_CCStrip_IV
Temperature(C)= 22.8	Humidity(%)= 6.5
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-176.220E-3
-1.900E-6	-175.380E-3
-1.800E-6	-172.020E-3
-1.700E-6	-166.090E-3
-1.600E-6	-161.000E-3
-1.500E-6	-151.550E-3
-1.400E-6	-145.500E-3
-1.300E-6	-135.040E-3
-1.200E-6	-124.530E-3
-1.100E-6	-114.840E-3
-1.000E-6	-105.120E-3
-900.000E-9	-96.240E-3
-800.000E-9	-87.360E-3
-700.000E-9	-78.460E-3
-600.000E-9	-69.560E-3
-500.000E-9	-60.650E-3
-400.000E-9	-51.740E-3
-300.000E-9	-42.830E-3
-200.000E-9	-33.910E-3
-100.000E-9	-24.990E-3
0.000E+0	-16.060E-3
100.000E-9	-7.140E-3
200.000E-9	1.780E-3
300.000E-9	10.700E-3
400.000E-9	19.630E-3
500.000E-9	28.560E-3
600.000E-9	37.490E-3
700.000E-9	46.420E-3
800.000E-9	55.350E-3
900.000E-9	64.280E-3
1.000E-6	73.200E-3
1.100E-6	82.130E-3
1.200E-6	91.070E-3
1.300E-6	100.010E-3
1.400E-6	108.940E-3
1.500E-6	117.870E-3
1.600E-6	126.800E-3
1.700E-6	135.720E-3
1.800E-6	144.650E-3
1.900E-6	153.580E-3
2.000E-6	162.510E-3
