Extended_Flutes_11-Nov-20_2:02:02 PM	Left_PQC4_CCStrip_IV
Temperature(C)= 23.4	Humidity(%)= 7.9
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-161.840E-3
-1.900E-6	-161.050E-3
-1.800E-6	-157.910E-3
-1.700E-6	-152.390E-3
-1.600E-6	-144.480E-3
-1.500E-6	-136.510E-3
-1.400E-6	-128.500E-3
-1.300E-6	-120.460E-3
-1.200E-6	-115.620E-3
-1.100E-6	-106.730E-3
-1.000E-6	-101.060E-3
-900.000E-9	-91.310E-3
-800.000E-9	-81.560E-3
-700.000E-9	-75.860E-3
-600.000E-9	-66.090E-3
-500.000E-9	-57.120E-3
-400.000E-9	-48.150E-3
-300.000E-9	-39.180E-3
-200.000E-9	-31.030E-3
-100.000E-9	-22.860E-3
0.000E+0	-14.700E-3
100.000E-9	-9.810E-3
200.000E-9	-830.000E-6
300.000E-9	8.150E-3
400.000E-9	17.130E-3
500.000E-9	26.110E-3
600.000E-9	34.280E-3
700.000E-9	42.440E-3
800.000E-9	50.610E-3
900.000E-9	58.780E-3
1.000E-6	66.940E-3
1.100E-6	75.110E-3
1.200E-6	83.280E-3
1.300E-6	91.450E-3
1.400E-6	99.630E-3
1.500E-6	107.790E-3
1.600E-6	115.950E-3
1.700E-6	124.120E-3
1.800E-6	132.290E-3
1.900E-6	140.460E-3
2.000E-6	148.630E-3
