Extended_Flutes_17-Nov-20_5:48:21 PM	Right_PQC4_CCStrip_IV
Temperature(C)= 23.0	Humidity(%)= 6.0
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-167.840E-3
-1.900E-6	-167.040E-3
-1.800E-6	-163.810E-3
-1.700E-6	-160.580E-3
-1.600E-6	-152.430E-3
-1.500E-6	-143.400E-3
-1.400E-6	-134.300E-3
-1.300E-6	-125.150E-3
-1.200E-6	-116.780E-3
-1.100E-6	-108.390E-3
-1.000E-6	-99.960E-3
-900.000E-9	-94.890E-3
-800.000E-9	-85.560E-3
-700.000E-9	-79.600E-3
-600.000E-9	-69.460E-3
-500.000E-9	-59.320E-3
-400.000E-9	-50.020E-3
-300.000E-9	-40.690E-3
-200.000E-9	-32.170E-3
-100.000E-9	-23.660E-3
0.000E+0	-15.170E-3
100.000E-9	-6.690E-3
200.000E-9	1.790E-3
300.000E-9	10.290E-3
400.000E-9	18.800E-3
500.000E-9	27.300E-3
600.000E-9	35.770E-3
700.000E-9	44.240E-3
800.000E-9	52.710E-3
900.000E-9	61.200E-3
1.000E-6	69.690E-3
1.100E-6	78.170E-3
1.200E-6	86.650E-3
1.300E-6	95.130E-3
1.400E-6	103.610E-3
1.500E-6	112.100E-3
1.600E-6	120.580E-3
1.700E-6	129.070E-3
1.800E-6	137.570E-3
1.900E-6	146.060E-3
2.000E-6	154.550E-3
