Extended_Flutes_12-Nov-20_1:23:34 PM	Left_PQC4_CCStrip_IV
Temperature(C)= 22.2	Humidity(%)= 7.2
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-163.250E-3
-1.900E-6	-163.250E-3
-1.800E-6	-160.080E-3
-1.700E-6	-154.500E-3
-1.600E-6	-146.510E-3
-1.500E-6	-140.890E-3
-1.400E-6	-132.000E-3
-1.300E-6	-126.330E-3
-1.200E-6	-116.570E-3
-1.100E-6	-106.790E-3
-1.000E-6	-97.790E-3
-900.000E-9	-88.770E-3
-800.000E-9	-80.570E-3
-700.000E-9	-72.360E-3
-600.000E-9	-64.140E-3
-500.000E-9	-55.930E-3
-400.000E-9	-47.710E-3
-300.000E-9	-39.490E-3
-200.000E-9	-31.260E-3
-100.000E-9	-23.030E-3
0.000E+0	-14.800E-3
100.000E-9	-6.580E-3
200.000E-9	1.640E-3
300.000E-9	9.870E-3
400.000E-9	18.100E-3
500.000E-9	26.330E-3
600.000E-9	34.570E-3
700.000E-9	42.800E-3
800.000E-9	47.740E-3
900.000E-9	56.790E-3
1.000E-6	62.550E-3
1.100E-6	69.140E-3
1.200E-6	79.840E-3
1.300E-6	89.730E-3
1.400E-6	99.610E-3
1.500E-6	105.370E-3
1.600E-6	114.420E-3
1.700E-6	123.480E-3
1.800E-6	132.530E-3
1.900E-6	141.590E-3
2.000E-6	149.820E-3
