Extended_Flutes_19-Nov-20_4:15:14 PM	Right_PQC4_CCStrip_IV
Temperature(C)= 22.2	Humidity(%)= 5.8
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-203.890E-3
-1.900E-6	-203.890E-3
-1.800E-6	-200.250E-3
-1.700E-6	-193.790E-3
-1.600E-6	-184.420E-3
-1.500E-6	-173.910E-3
-1.400E-6	-164.090E-3
-1.300E-6	-154.110E-3
-1.200E-6	-143.990E-3
-1.100E-6	-137.870E-3
-1.000E-6	-130.680E-3
-900.000E-9	-122.420E-3
-800.000E-9	-108.930E-3
-700.000E-9	-95.380E-3
-600.000E-9	-82.850E-3
-500.000E-9	-71.340E-3
-400.000E-9	-60.860E-3
-300.000E-9	-50.380E-3
-200.000E-9	-39.890E-3
-100.000E-9	-29.390E-3
0.000E+0	-18.900E-3
100.000E-9	-8.390E-3
200.000E-9	2.100E-3
300.000E-9	12.600E-3
400.000E-9	23.110E-3
500.000E-9	33.610E-3
600.000E-9	44.120E-3
700.000E-9	54.620E-3
800.000E-9	65.130E-3
900.000E-9	75.640E-3
1.000E-6	86.140E-3
1.100E-6	96.650E-3
1.200E-6	107.170E-3
1.300E-6	117.680E-3
1.400E-6	128.190E-3
1.500E-6	138.690E-3
1.600E-6	149.200E-3
1.700E-6	159.700E-3
1.800E-6	170.210E-3
1.900E-6	180.720E-3
2.000E-6	191.230E-3
