Extended_Flutes_18-Nov-20_1:04:58 PM	Right_PQC4_CCStrip_IV
Temperature(C)= 22.3	Humidity(%)= 6.1
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-174.330E-3
-1.900E-6	-173.490E-3
-1.800E-6	-171.800E-3
-1.700E-6	-165.820E-3
-1.600E-6	-157.250E-3
-1.500E-6	-147.720E-3
-1.400E-6	-138.090E-3
-1.300E-6	-129.270E-3
-1.200E-6	-120.400E-3
-1.100E-6	-111.500E-3
-1.000E-6	-106.140E-3
-900.000E-9	-96.280E-3
-800.000E-9	-86.410E-3
-700.000E-9	-76.530E-3
-600.000E-9	-66.640E-3
-500.000E-9	-57.640E-3
-400.000E-9	-48.640E-3
-300.000E-9	-39.640E-3
-200.000E-9	-30.630E-3
-100.000E-9	-21.620E-3
0.000E+0	-12.610E-3
100.000E-9	-3.590E-3
200.000E-9	5.410E-3
300.000E-9	14.430E-3
400.000E-9	23.440E-3
500.000E-9	32.460E-3
600.000E-9	41.480E-3
700.000E-9	50.490E-3
800.000E-9	59.510E-3
900.000E-9	68.530E-3
1.000E-6	77.540E-3
1.100E-6	86.560E-3
1.200E-6	95.590E-3
1.300E-6	104.610E-3
1.400E-6	113.630E-3
1.500E-6	122.650E-3
1.600E-6	128.060E-3
1.700E-6	137.970E-3
1.800E-6	147.890E-3
1.900E-6	157.810E-3
2.000E-6	167.730E-3
