Extended_Flutes_11-Nov-20_2:59:38 PM	Right_PQC4_CCStrip_IV
Temperature(C)= 23.7	Humidity(%)= 6.9
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-161.010E-3
-1.900E-6	-160.230E-3
-1.800E-6	-157.100E-3
-1.700E-6	-151.610E-3
-1.600E-6	-143.740E-3
-1.500E-6	-135.810E-3
-1.400E-6	-127.840E-3
-1.300E-6	-119.840E-3
-1.200E-6	-111.810E-3
-1.100E-6	-103.760E-3
-1.000E-6	-95.690E-3
-900.000E-9	-87.600E-3
-800.000E-9	-79.510E-3
-700.000E-9	-71.410E-3
-600.000E-9	-63.300E-3
-500.000E-9	-55.200E-3
-400.000E-9	-47.080E-3
-300.000E-9	-38.970E-3
-200.000E-9	-30.850E-3
-100.000E-9	-22.730E-3
0.000E+0	-14.610E-3
100.000E-9	-6.490E-3
200.000E-9	1.620E-3
300.000E-9	9.750E-3
400.000E-9	17.870E-3
500.000E-9	25.990E-3
600.000E-9	34.120E-3
700.000E-9	42.240E-3
800.000E-9	50.370E-3
900.000E-9	58.490E-3
1.000E-6	66.620E-3
1.100E-6	74.740E-3
1.200E-6	82.870E-3
1.300E-6	91.000E-3
1.400E-6	99.130E-3
1.500E-6	107.260E-3
1.600E-6	115.380E-3
1.700E-6	123.500E-3
1.800E-6	131.630E-3
1.900E-6	139.750E-3
2.000E-6	147.880E-3
