Extended_Flutes_20-Nov-20_4:17:55 PM	Left_PQC4_CCStrip_IV
Temperature(C)= 22.0	Humidity(%)= 6.8
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-169.350E-3
-1.900E-6	-168.530E-3
-1.800E-6	-165.260E-3
-1.700E-6	-159.510E-3
-1.600E-6	-151.260E-3
-1.500E-6	-142.940E-3
-1.400E-6	-134.560E-3
-1.300E-6	-126.150E-3
-1.200E-6	-117.710E-3
-1.100E-6	-112.630E-3
-1.000E-6	-103.300E-3
-900.000E-9	-93.930E-3
-800.000E-9	-84.560E-3
-700.000E-9	-75.180E-3
-600.000E-9	-66.650E-3
-500.000E-9	-58.110E-3
-400.000E-9	-49.570E-3
-300.000E-9	-41.030E-3
-200.000E-9	-32.480E-3
-100.000E-9	-23.930E-3
0.000E+0	-15.380E-3
100.000E-9	-6.830E-3
200.000E-9	1.710E-3
300.000E-9	10.260E-3
400.000E-9	18.820E-3
500.000E-9	27.370E-3
600.000E-9	35.920E-3
700.000E-9	44.480E-3
800.000E-9	53.030E-3
900.000E-9	61.580E-3
1.000E-6	70.140E-3
1.100E-6	78.690E-3
1.200E-6	87.250E-3
1.300E-6	95.810E-3
1.400E-6	104.370E-3
1.500E-6	112.920E-3
1.600E-6	118.050E-3
1.700E-6	127.460E-3
1.800E-6	136.870E-3
1.900E-6	146.280E-3
2.000E-6	155.690E-3
