Extended_Flutes_13-Nov-20_3:24:32 PM	Right_PQC4_CCStrip_IV
Temperature(C)= 23.6	Humidity(%)= 6.3
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-176.540E-3
-1.900E-6	-175.700E-3
-1.800E-6	-172.350E-3
-1.700E-6	-166.430E-3
-1.600E-6	-157.940E-3
-1.500E-6	-149.330E-3
-1.400E-6	-140.650E-3
-1.300E-6	-131.910E-3
-1.200E-6	-123.120E-3
-1.100E-6	-114.290E-3
-1.000E-6	-105.420E-3
-900.000E-9	-96.520E-3
-800.000E-9	-87.610E-3
-700.000E-9	-78.690E-3
-600.000E-9	-69.770E-3
-500.000E-9	-60.830E-3
-400.000E-9	-51.890E-3
-300.000E-9	-42.950E-3
-200.000E-9	-34.000E-3
-100.000E-9	-25.050E-3
0.000E+0	-16.100E-3
100.000E-9	-7.150E-3
200.000E-9	1.790E-3
300.000E-9	10.750E-3
400.000E-9	19.700E-3
500.000E-9	28.660E-3
600.000E-9	37.610E-3
700.000E-9	46.570E-3
800.000E-9	55.530E-3
900.000E-9	64.480E-3
1.000E-6	73.440E-3
1.100E-6	82.400E-3
1.200E-6	91.360E-3
1.300E-6	100.330E-3
1.400E-6	109.290E-3
1.500E-6	118.240E-3
1.600E-6	127.200E-3
1.700E-6	136.150E-3
1.800E-6	145.110E-3
1.900E-6	154.060E-3
2.000E-6	163.020E-3
