Extended_Flutes_18-Nov-20_9:45:09 AM	Left_PQC4_CCStrip_IV
Temperature(C)= 20.1	Humidity(%)= 6.9
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-176.630E-3
-1.900E-6	-175.780E-3
-1.800E-6	-172.370E-3
-1.700E-6	-166.380E-3
-1.600E-6	-157.770E-3
-1.500E-6	-149.100E-3
-1.400E-6	-140.360E-3
-1.300E-6	-131.580E-3
-1.200E-6	-122.770E-3
-1.100E-6	-113.940E-3
-1.000E-6	-108.620E-3
-900.000E-9	-98.860E-3
-800.000E-9	-89.080E-3
-700.000E-9	-79.290E-3
-600.000E-9	-69.500E-3
-500.000E-9	-60.600E-3
-400.000E-9	-51.690E-3
-300.000E-9	-42.780E-3
-200.000E-9	-33.870E-3
-100.000E-9	-24.960E-3
0.000E+0	-16.040E-3
100.000E-9	-7.120E-3
200.000E-9	1.780E-3
300.000E-9	10.700E-3
400.000E-9	19.620E-3
500.000E-9	28.540E-3
600.000E-9	37.450E-3
700.000E-9	46.370E-3
800.000E-9	55.290E-3
900.000E-9	64.210E-3
1.000E-6	73.130E-3
1.100E-6	82.050E-3
1.200E-6	90.970E-3
1.300E-6	99.890E-3
1.400E-6	108.820E-3
1.500E-6	117.730E-3
1.600E-6	126.650E-3
1.700E-6	135.570E-3
1.800E-6	144.490E-3
1.900E-6	153.410E-3
2.000E-6	162.330E-3
