Extended_Flutes_23-Nov-20_12:23:39 PM	Left_PQC4_CCStrip_IV
Temperature(C)= 20.9	Humidity(%)= 6.6
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-167.730E-3
-1.900E-6	-166.920E-3
-1.800E-6	-163.650E-3
-1.700E-6	-160.380E-3
-1.600E-6	-152.160E-3
-1.500E-6	-143.070E-3
-1.400E-6	-133.930E-3
-1.300E-6	-124.760E-3
-1.200E-6	-119.740E-3
-1.100E-6	-110.520E-3
-1.000E-6	-104.640E-3
-900.000E-9	-94.540E-3
-800.000E-9	-84.430E-3
-700.000E-9	-75.150E-3
-600.000E-9	-65.870E-3
-500.000E-9	-57.430E-3
-400.000E-9	-48.990E-3
-300.000E-9	-40.550E-3
-200.000E-9	-32.100E-3
-100.000E-9	-23.650E-3
0.000E+0	-15.210E-3
100.000E-9	-6.760E-3
200.000E-9	1.680E-3
300.000E-9	10.130E-3
400.000E-9	18.580E-3
500.000E-9	27.040E-3
600.000E-9	35.490E-3
700.000E-9	43.940E-3
800.000E-9	52.390E-3
900.000E-9	60.840E-3
1.000E-6	69.290E-3
1.100E-6	77.740E-3
1.200E-6	86.200E-3
1.300E-6	94.650E-3
1.400E-6	103.110E-3
1.500E-6	111.560E-3
1.600E-6	120.010E-3
1.700E-6	128.460E-3
1.800E-6	136.910E-3
1.900E-6	145.370E-3
2.000E-6	153.820E-3
