Extended_Flutes_23-Nov-20_1:22:11 PM	Right_PQC4_CCStrip_IV
Temperature(C)= 21.1	Humidity(%)= 14.0
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-177.720E-3
-1.900E-6	-176.870E-3
-1.800E-6	-173.460E-3
-1.700E-6	-167.450E-3
-1.600E-6	-162.290E-3
-1.500E-6	-152.730E-3
-1.400E-6	-143.100E-3
-1.300E-6	-133.410E-3
-1.200E-6	-123.670E-3
-1.100E-6	-114.780E-3
-1.000E-6	-105.860E-3
-900.000E-9	-96.920E-3
-800.000E-9	-87.960E-3
-700.000E-9	-79.000E-3
-600.000E-9	-70.030E-3
-500.000E-9	-61.060E-3
-400.000E-9	-52.090E-3
-300.000E-9	-43.110E-3
-200.000E-9	-34.130E-3
-100.000E-9	-25.150E-3
0.000E+0	-16.160E-3
100.000E-9	-7.180E-3
200.000E-9	1.800E-3
300.000E-9	10.790E-3
400.000E-9	19.770E-3
500.000E-9	28.760E-3
600.000E-9	37.750E-3
700.000E-9	46.740E-3
800.000E-9	55.720E-3
900.000E-9	64.710E-3
1.000E-6	73.700E-3
1.100E-6	82.690E-3
1.200E-6	91.690E-3
1.300E-6	100.680E-3
1.400E-6	109.680E-3
1.500E-6	118.660E-3
1.600E-6	127.650E-3
1.700E-6	136.630E-3
1.800E-6	145.620E-3
1.900E-6	154.610E-3
2.000E-6	163.600E-3
