Extended_Flutes_13-Nov-20_10:42:36 AM	Left_PQC4_CCStrip_IV
Temperature(C)= 21.5	Humidity(%)= 6.6
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-167.650E-3
-1.900E-6	-166.830E-3
-1.800E-6	-163.570E-3
-1.700E-6	-157.840E-3
-1.600E-6	-149.630E-3
-1.500E-6	-141.370E-3
-1.400E-6	-133.060E-3
-1.300E-6	-124.720E-3
-1.200E-6	-116.360E-3
-1.100E-6	-111.330E-3
-1.000E-6	-102.100E-3
-900.000E-9	-92.840E-3
-800.000E-9	-86.940E-3
-700.000E-9	-76.830E-3
-600.000E-9	-67.550E-3
-500.000E-9	-61.640E-3
-400.000E-9	-51.520E-3
-300.000E-9	-42.230E-3
-200.000E-9	-32.940E-3
-100.000E-9	-23.650E-3
0.000E+0	-15.200E-3
100.000E-9	-10.130E-3
200.000E-9	-840.000E-6
300.000E-9	8.450E-3
400.000E-9	17.740E-3
500.000E-9	27.040E-3
600.000E-9	35.490E-3
700.000E-9	43.940E-3
800.000E-9	52.390E-3
900.000E-9	60.840E-3
1.000E-6	69.290E-3
1.100E-6	77.740E-3
1.200E-6	86.200E-3
1.300E-6	94.650E-3
1.400E-6	103.110E-3
1.500E-6	108.180E-3
1.600E-6	117.470E-3
1.700E-6	126.760E-3
1.800E-6	136.060E-3
1.900E-6	145.360E-3
2.000E-6	153.810E-3
