Custom_Flutes_23-Nov-20_3:55:23 PM	Right_PQC4_CCStrip_IV
Temperature(C)= 21.5	Humidity(%)= 6.4
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-176.530E-3
-1.900E-6	-175.680E-3
-1.800E-6	-172.300E-3
-1.700E-6	-166.350E-3
-1.600E-6	-157.800E-3
-1.500E-6	-149.160E-3
-1.400E-6	-140.450E-3
-1.300E-6	-131.690E-3
-1.200E-6	-122.890E-3
-1.100E-6	-114.060E-3
-1.000E-6	-105.200E-3
-900.000E-9	-96.310E-3
-800.000E-9	-87.420E-3
-700.000E-9	-78.510E-3
-600.000E-9	-69.600E-3
-500.000E-9	-60.690E-3
-400.000E-9	-51.770E-3
-300.000E-9	-42.850E-3
-200.000E-9	-33.920E-3
-100.000E-9	-24.990E-3
0.000E+0	-16.060E-3
100.000E-9	-7.130E-3
200.000E-9	1.790E-3
300.000E-9	10.720E-3
400.000E-9	19.650E-3
500.000E-9	28.580E-3
600.000E-9	37.510E-3
700.000E-9	46.450E-3
800.000E-9	55.380E-3
900.000E-9	64.310E-3
1.000E-6	73.250E-3
1.100E-6	82.180E-3
1.200E-6	91.120E-3
1.300E-6	100.060E-3
1.400E-6	109.000E-3
1.500E-6	117.930E-3
1.600E-6	126.860E-3
1.700E-6	135.790E-3
1.800E-6	144.730E-3
1.900E-6	153.660E-3
2.000E-6	162.600E-3
