Extended_Flutes_17-Nov-20_2:35:19 PM	Left_PQC4_CCStrip_IV
Temperature(C)= 21.6	Humidity(%)= 7.3
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-176.940E-3
-1.900E-6	-176.100E-3
-1.800E-6	-174.420E-3
-1.700E-6	-168.470E-3
-1.600E-6	-159.920E-3
-1.500E-6	-153.900E-3
-1.400E-6	-143.470E-3
-1.300E-6	-133.820E-3
-1.200E-6	-124.120E-3
-1.100E-6	-114.380E-3
-1.000E-6	-105.500E-3
-900.000E-9	-96.600E-3
-800.000E-9	-87.680E-3
-700.000E-9	-78.750E-3
-600.000E-9	-69.820E-3
-500.000E-9	-60.870E-3
-400.000E-9	-51.920E-3
-300.000E-9	-42.970E-3
-200.000E-9	-34.020E-3
-100.000E-9	-28.640E-3
0.000E+0	-18.790E-3
100.000E-9	-8.930E-3
200.000E-9	910.000E-6
300.000E-9	10.770E-3
400.000E-9	19.730E-3
500.000E-9	28.690E-3
600.000E-9	37.660E-3
700.000E-9	46.620E-3
800.000E-9	55.580E-3
900.000E-9	64.550E-3
1.000E-6	73.510E-3
1.100E-6	82.470E-3
1.200E-6	91.440E-3
1.300E-6	100.410E-3
1.400E-6	109.380E-3
1.500E-6	118.340E-3
1.600E-6	127.300E-3
1.700E-6	136.260E-3
1.800E-6	145.220E-3
1.900E-6	154.190E-3
2.000E-6	163.160E-3
