Extended_Flutes_20-Nov-20_5:25:05 PM	Right_PQC4_CCStrip_IV
Temperature(C)= 22.0	Humidity(%)= 13.9
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-173.060E-3
-1.900E-6	-172.020E-3
-1.800E-6	-168.530E-3
-1.700E-6	-163.200E-3
-1.600E-6	-155.750E-3
-1.500E-6	-148.170E-3
-1.400E-6	-139.550E-3
-1.300E-6	-130.150E-3
-1.200E-6	-121.640E-3
-1.100E-6	-113.190E-3
-1.000E-6	-108.180E-3
-900.000E-9	-98.890E-3
-800.000E-9	-88.850E-3
-700.000E-9	-79.210E-3
-600.000E-9	-69.550E-3
-500.000E-9	-60.320E-3
-400.000E-9	-51.860E-3
-300.000E-9	-43.060E-3
-200.000E-9	-34.930E-3
-100.000E-9	-26.290E-3
0.000E+0	-17.350E-3
100.000E-9	-8.400E-3
200.000E-9	550.000E-6
300.000E-9	9.740E-3
400.000E-9	18.610E-3
500.000E-9	27.480E-3
600.000E-9	36.140E-3
700.000E-9	44.660E-3
800.000E-9	53.400E-3
900.000E-9	62.160E-3
1.000E-6	70.750E-3
1.100E-6	79.650E-3
1.200E-6	88.550E-3
1.300E-6	97.590E-3
1.400E-6	106.250E-3
1.500E-6	115.220E-3
1.600E-6	123.550E-3
1.700E-6	132.720E-3
1.800E-6	141.550E-3
1.900E-6	150.530E-3
2.000E-6	159.150E-3
