Extended_Flutes_19-Nov-20_6:42:29 PM	Right_PQC4_CCStrip_IV
Temperature(C)= 22.8	Humidity(%)= 5.7
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-174.350E-3
-1.900E-6	-173.500E-3
-1.800E-6	-170.080E-3
-1.700E-6	-164.090E-3
-1.600E-6	-155.510E-3
-1.500E-6	-146.900E-3
-1.400E-6	-138.250E-3
-1.300E-6	-129.580E-3
-1.200E-6	-120.900E-3
-1.100E-6	-112.200E-3
-1.000E-6	-106.970E-3
-900.000E-9	-97.360E-3
-800.000E-9	-87.740E-3
-700.000E-9	-78.120E-3
-600.000E-9	-68.490E-3
-500.000E-9	-59.720E-3
-400.000E-9	-50.950E-3
-300.000E-9	-42.180E-3
-200.000E-9	-33.400E-3
-100.000E-9	-24.620E-3
0.000E+0	-15.830E-3
100.000E-9	-7.030E-3
200.000E-9	1.760E-3
300.000E-9	10.570E-3
400.000E-9	19.370E-3
500.000E-9	28.190E-3
600.000E-9	37.000E-3
700.000E-9	45.820E-3
800.000E-9	54.650E-3
900.000E-9	63.480E-3
1.000E-6	72.310E-3
1.100E-6	81.140E-3
1.200E-6	89.990E-3
1.300E-6	98.840E-3
1.400E-6	107.690E-3
1.500E-6	116.540E-3
1.600E-6	125.390E-3
1.700E-6	134.250E-3
1.800E-6	143.120E-3
1.900E-6	151.990E-3
2.000E-6	160.860E-3
