Extended_Flutes_18-Nov-20_6:26:51 PM	Right_PQC4_CCStrip_IV
Temperature(C)= 23.6	Humidity(%)= 5.7
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-160.630E-3
-1.900E-6	-159.860E-3
-1.800E-6	-156.750E-3
-1.700E-6	-151.280E-3
-1.600E-6	-146.570E-3
-1.500E-6	-137.880E-3
-1.400E-6	-129.130E-3
-1.300E-6	-120.360E-3
-1.200E-6	-111.560E-3
-1.100E-6	-103.530E-3
-1.000E-6	-95.480E-3
-900.000E-9	-87.410E-3
-800.000E-9	-79.340E-3
-700.000E-9	-71.250E-3
-600.000E-9	-63.170E-3
-500.000E-9	-55.080E-3
-400.000E-9	-46.980E-3
-300.000E-9	-38.880E-3
-200.000E-9	-30.780E-3
-100.000E-9	-22.680E-3
0.000E+0	-14.580E-3
100.000E-9	-6.470E-3
200.000E-9	1.630E-3
300.000E-9	9.730E-3
400.000E-9	17.840E-3
500.000E-9	25.940E-3
600.000E-9	34.050E-3
700.000E-9	42.150E-3
800.000E-9	50.260E-3
900.000E-9	58.370E-3
1.000E-6	66.480E-3
1.100E-6	74.590E-3
1.200E-6	82.700E-3
1.300E-6	90.810E-3
1.400E-6	98.930E-3
1.500E-6	103.800E-3
1.600E-6	112.710E-3
1.700E-6	121.630E-3
1.800E-6	130.550E-3
1.900E-6	139.470E-3
2.000E-6	147.580E-3
