Extended_Flutes_23-Nov-20_9:48:46 AM	Left_PQC4_CCStrip_IV
Temperature(C)= 19.3	Humidity(%)= 7.4
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-178.700E-3
-1.900E-6	-177.840E-3
-1.800E-6	-174.390E-3
-1.700E-6	-170.920E-3
-1.600E-6	-162.210E-3
-1.500E-6	-152.560E-3
-1.400E-6	-142.850E-3
-1.300E-6	-136.640E-3
-1.200E-6	-126.840E-3
-1.100E-6	-117.010E-3
-1.000E-6	-107.160E-3
-900.000E-9	-97.280E-3
-800.000E-9	-88.290E-3
-700.000E-9	-79.290E-3
-600.000E-9	-70.290E-3
-500.000E-9	-61.280E-3
-400.000E-9	-52.270E-3
-300.000E-9	-43.260E-3
-200.000E-9	-34.250E-3
-100.000E-9	-25.240E-3
0.000E+0	-16.220E-3
100.000E-9	-10.810E-3
200.000E-9	-890.000E-6
300.000E-9	9.020E-3
400.000E-9	18.940E-3
500.000E-9	28.850E-3
600.000E-9	37.870E-3
700.000E-9	46.890E-3
800.000E-9	55.910E-3
900.000E-9	64.930E-3
1.000E-6	73.950E-3
1.100E-6	82.970E-3
1.200E-6	91.990E-3
1.300E-6	101.010E-3
1.400E-6	110.040E-3
1.500E-6	119.050E-3
1.600E-6	128.060E-3
1.700E-6	137.080E-3
1.800E-6	146.100E-3
1.900E-6	155.120E-3
2.000E-6	164.140E-3
