Extended_Flutes_17-Nov-20_4:50:54 PM	Left_PQC4_CCStrip_IV
Temperature(C)= 22.8	Humidity(%)= 7.1
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-159.490E-3
-1.900E-6	-158.720E-3
-1.800E-6	-157.170E-3
-1.700E-6	-151.710E-3
-1.600E-6	-143.900E-3
-1.500E-6	-135.260E-3
-1.400E-6	-129.740E-3
-1.300E-6	-121.020E-3
-1.200E-6	-115.460E-3
-1.100E-6	-105.910E-3
-1.000E-6	-99.520E-3
-900.000E-9	-89.920E-3
-800.000E-9	-80.300E-3
-700.000E-9	-71.480E-3
-600.000E-9	-62.660E-3
-500.000E-9	-54.630E-3
-400.000E-9	-46.600E-3
-300.000E-9	-38.570E-3
-200.000E-9	-30.530E-3
-100.000E-9	-22.490E-3
0.000E+0	-14.460E-3
100.000E-9	-6.420E-3
200.000E-9	1.610E-3
300.000E-9	9.650E-3
400.000E-9	17.690E-3
500.000E-9	25.730E-3
600.000E-9	33.780E-3
700.000E-9	41.820E-3
800.000E-9	49.860E-3
900.000E-9	57.900E-3
1.000E-6	62.730E-3
1.100E-6	71.570E-3
1.200E-6	80.420E-3
1.300E-6	89.270E-3
1.400E-6	98.120E-3
1.500E-6	106.160E-3
1.600E-6	114.200E-3
1.700E-6	122.240E-3
1.800E-6	130.280E-3
1.900E-6	138.330E-3
2.000E-6	146.370E-3
