Extended_Flutes_18-Nov-20_5:24:39 PM	Left_PQC4_CCStrip_IV
Temperature(C)= 23.5	Humidity(%)= 6.6
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-162.020E-3
-1.900E-6	-161.230E-3
-1.800E-6	-158.080E-3
-1.700E-6	-152.520E-3
-1.600E-6	-144.540E-3
-1.500E-6	-136.510E-3
-1.400E-6	-128.420E-3
-1.300E-6	-120.310E-3
-1.200E-6	-112.170E-3
-1.100E-6	-104.000E-3
-1.000E-6	-95.800E-3
-900.000E-9	-87.590E-3
-800.000E-9	-79.370E-3
-700.000E-9	-71.140E-3
-600.000E-9	-62.910E-3
-500.000E-9	-54.670E-3
-400.000E-9	-46.430E-3
-300.000E-9	-38.190E-3
-200.000E-9	-29.940E-3
-100.000E-9	-21.700E-3
0.000E+0	-13.450E-3
100.000E-9	-5.200E-3
200.000E-9	3.040E-3
300.000E-9	11.300E-3
400.000E-9	19.550E-3
500.000E-9	27.800E-3
600.000E-9	36.060E-3
700.000E-9	44.310E-3
800.000E-9	52.560E-3
900.000E-9	60.820E-3
1.000E-6	69.070E-3
1.100E-6	77.330E-3
1.200E-6	85.580E-3
1.300E-6	93.840E-3
1.400E-6	102.100E-3
1.500E-6	110.350E-3
1.600E-6	118.600E-3
1.700E-6	126.860E-3
1.800E-6	135.110E-3
1.900E-6	143.370E-3
2.000E-6	151.630E-3
