Extended_Flutes_19-Nov-20_5:39:54 PM	Left_PQC4_CCStrip_IV
Temperature(C)= 22.6	Humidity(%)= 6.4
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-178.560E-3
-1.900E-6	-177.670E-3
-1.800E-6	-174.210E-3
-1.700E-6	-168.260E-3
-1.600E-6	-159.710E-3
-1.500E-6	-150.990E-3
-1.400E-6	-142.180E-3
-1.300E-6	-133.340E-3
-1.200E-6	-124.540E-3
-1.100E-6	-115.690E-3
-1.000E-6	-106.650E-3
-900.000E-9	-97.650E-3
-800.000E-9	-88.610E-3
-700.000E-9	-79.570E-3
-600.000E-9	-70.540E-3
-500.000E-9	-61.510E-3
-400.000E-9	-52.470E-3
-300.000E-9	-43.430E-3
-200.000E-9	-34.380E-3
-100.000E-9	-25.330E-3
0.000E+0	-16.280E-3
100.000E-9	-7.230E-3
200.000E-9	1.810E-3
300.000E-9	10.860E-3
400.000E-9	19.920E-3
500.000E-9	28.970E-3
600.000E-9	38.020E-3
700.000E-9	47.080E-3
800.000E-9	56.130E-3
900.000E-9	65.190E-3
1.000E-6	74.240E-3
1.100E-6	83.300E-3
1.200E-6	92.360E-3
1.300E-6	101.420E-3
1.400E-6	110.480E-3
1.500E-6	119.530E-3
1.600E-6	128.580E-3
1.700E-6	137.640E-3
1.800E-6	143.070E-3
1.900E-6	153.030E-3
2.000E-6	163.000E-3
