Extended_Flutes_18-Nov-20_3:32:06 PM	Right_PQC4_CCStrip_IV
Temperature(C)= 23.1	Humidity(%)= 5.9
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-166.490E-3
-1.900E-6	-165.690E-3
-1.800E-6	-164.090E-3
-1.700E-6	-158.460E-3
-1.600E-6	-150.360E-3
-1.500E-6	-141.400E-3
-1.400E-6	-135.660E-3
-1.300E-6	-126.580E-3
-1.200E-6	-117.460E-3
-1.100E-6	-111.640E-3
-1.000E-6	-104.980E-3
-900.000E-9	-94.940E-3
-800.000E-9	-84.880E-3
-700.000E-9	-74.820E-3
-600.000E-9	-65.580E-3
-500.000E-9	-57.180E-3
-400.000E-9	-52.140E-3
-300.000E-9	-42.900E-3
-200.000E-9	-33.650E-3
-100.000E-9	-24.390E-3
0.000E+0	-15.140E-3
100.000E-9	-6.720E-3
200.000E-9	1.680E-3
300.000E-9	10.100E-3
400.000E-9	18.520E-3
500.000E-9	26.940E-3
600.000E-9	35.350E-3
700.000E-9	43.770E-3
800.000E-9	52.190E-3
900.000E-9	60.610E-3
1.000E-6	69.030E-3
1.100E-6	77.450E-3
1.200E-6	85.870E-3
1.300E-6	94.290E-3
1.400E-6	102.720E-3
1.500E-6	111.140E-3
1.600E-6	116.190E-3
1.700E-6	125.440E-3
1.800E-6	134.710E-3
1.900E-6	143.970E-3
2.000E-6	153.240E-3
