Extended_Flutes_17-Nov-20_3:30:54 PM	Right_PQC4_CCStrip_IV
Temperature(C)= 22.3	Humidity(%)= 6.3
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-173.350E-3
-1.900E-6	-172.500E-3
-1.800E-6	-169.110E-3
-1.700E-6	-163.170E-3
-1.600E-6	-154.620E-3
-1.500E-6	-146.000E-3
-1.400E-6	-140.780E-3
-1.300E-6	-134.660E-3
-1.200E-6	-124.110E-3
-1.100E-6	-117.050E-3
-1.000E-6	-105.530E-3
-900.000E-9	-94.850E-3
-800.000E-9	-85.040E-3
-700.000E-9	-75.210E-3
-600.000E-9	-66.270E-3
-500.000E-9	-57.330E-3
-400.000E-9	-48.380E-3
-300.000E-9	-39.430E-3
-200.000E-9	-30.470E-3
-100.000E-9	-21.510E-3
0.000E+0	-12.550E-3
100.000E-9	-3.590E-3
200.000E-9	5.360E-3
300.000E-9	14.320E-3
400.000E-9	23.290E-3
500.000E-9	32.250E-3
600.000E-9	41.220E-3
700.000E-9	50.180E-3
800.000E-9	59.150E-3
900.000E-9	68.110E-3
1.000E-6	77.070E-3
1.100E-6	86.040E-3
1.200E-6	95.010E-3
1.300E-6	103.990E-3
1.400E-6	112.950E-3
1.500E-6	121.920E-3
1.600E-6	130.880E-3
1.700E-6	139.840E-3
1.800E-6	148.810E-3
1.900E-6	157.780E-3
2.000E-6	166.740E-3
