Custom_Flutes_23-Nov-20_3:33:20 PM	Left_PQC4_CCStrip_IV
Temperature(C)= 21.4	Humidity(%)= 8.3
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-174.060E-3
-1.900E-6	-173.230E-3
-1.800E-6	-171.560E-3
-1.700E-6	-165.670E-3
-1.600E-6	-157.210E-3
-1.500E-6	-147.840E-3
-1.400E-6	-138.400E-3
-1.300E-6	-129.750E-3
-1.200E-6	-124.550E-3
-1.100E-6	-118.460E-3
-1.000E-6	-108.000E-3
-900.000E-9	-97.500E-3
-800.000E-9	-86.990E-3
-700.000E-9	-77.340E-3
-600.000E-9	-68.560E-3
-500.000E-9	-59.780E-3
-400.000E-9	-51.000E-3
-300.000E-9	-42.210E-3
-200.000E-9	-33.410E-3
-100.000E-9	-24.620E-3
0.000E+0	-15.820E-3
100.000E-9	-7.030E-3
200.000E-9	1.760E-3
300.000E-9	10.560E-3
400.000E-9	19.360E-3
500.000E-9	28.150E-3
600.000E-9	36.950E-3
700.000E-9	45.750E-3
800.000E-9	54.550E-3
900.000E-9	63.350E-3
1.000E-6	72.150E-3
1.100E-6	80.950E-3
1.200E-6	89.750E-3
1.300E-6	98.560E-3
1.400E-6	107.370E-3
1.500E-6	116.160E-3
1.600E-6	124.960E-3
1.700E-6	133.750E-3
1.800E-6	142.550E-3
1.900E-6	151.350E-3
2.000E-6	160.150E-3
