Extended_Flutes_13-Nov-20_2:22:19 PM	Left_PQC4_CCStrip_IV
Temperature(C)= 23.3	Humidity(%)= 7.0
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-170.390E-3
-1.900E-6	-169.570E-3
-1.800E-6	-167.930E-3
-1.700E-6	-164.620E-3
-1.600E-6	-156.310E-3
-1.500E-6	-146.280E-3
-1.400E-6	-139.550E-3
-1.300E-6	-129.370E-3
-1.200E-6	-119.990E-3
-1.100E-6	-110.580E-3
-1.000E-6	-101.140E-3
-900.000E-9	-92.520E-3
-800.000E-9	-83.900E-3
-700.000E-9	-75.260E-3
-600.000E-9	-70.080E-3
-500.000E-9	-60.570E-3
-400.000E-9	-54.510E-3
-300.000E-9	-47.590E-3
-200.000E-9	-40.670E-3
-100.000E-9	-32.880E-3
0.000E+0	-20.760E-3
100.000E-9	-8.640E-3
200.000E-9	1.740E-3
300.000E-9	11.270E-3
400.000E-9	19.930E-3
500.000E-9	28.590E-3
600.000E-9	37.260E-3
700.000E-9	45.920E-3
800.000E-9	54.590E-3
900.000E-9	63.250E-3
1.000E-6	71.910E-3
1.100E-6	80.580E-3
1.200E-6	89.250E-3
1.300E-6	97.920E-3
1.400E-6	106.590E-3
1.500E-6	111.790E-3
1.600E-6	121.310E-3
1.700E-6	130.840E-3
1.800E-6	140.370E-3
1.900E-6	149.900E-3
2.000E-6	158.570E-3
