Extended_Flutes_19-Nov-20_3:17:02 PM	Left_PQC4_CCStrip_IV
Temperature(C)= 22.2	Humidity(%)= 8.5
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-182.480E-3
-1.900E-6	-181.620E-3
-1.800E-6	-178.170E-3
-1.700E-6	-172.080E-3
-1.600E-6	-163.320E-3
-1.500E-6	-154.450E-3
-1.400E-6	-145.480E-3
-1.300E-6	-136.450E-3
-1.200E-6	-127.360E-3
-1.100E-6	-118.230E-3
-1.000E-6	-109.060E-3
-900.000E-9	-99.860E-3
-800.000E-9	-90.640E-3
-700.000E-9	-81.410E-3
-600.000E-9	-72.180E-3
-500.000E-9	-62.940E-3
-400.000E-9	-57.390E-3
-300.000E-9	-47.210E-3
-200.000E-9	-37.030E-3
-100.000E-9	-26.850E-3
0.000E+0	-16.670E-3
100.000E-9	-7.400E-3
200.000E-9	1.850E-3
300.000E-9	11.110E-3
400.000E-9	20.370E-3
500.000E-9	29.640E-3
600.000E-9	38.900E-3
700.000E-9	48.170E-3
800.000E-9	57.430E-3
900.000E-9	66.700E-3
1.000E-6	75.960E-3
1.100E-6	85.230E-3
1.200E-6	94.500E-3
1.300E-6	103.770E-3
1.400E-6	113.040E-3
1.500E-6	122.300E-3
1.600E-6	131.570E-3
1.700E-6	140.830E-3
1.800E-6	150.090E-3
1.900E-6	159.360E-3
2.000E-6	168.630E-3
