Extended_Flutes_23-Nov-20_10:44:49 AM	Right_PQC4_CCStrip_IV
Temperature(C)= 20.2	Humidity(%)= 16.0
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-191.650E-3
-1.900E-6	-190.750E-3
-1.800E-6	-187.140E-3
-1.700E-6	-180.770E-3
-1.600E-6	-171.610E-3
-1.500E-6	-162.310E-3
-1.400E-6	-152.900E-3
-1.300E-6	-143.410E-3
-1.200E-6	-133.860E-3
-1.100E-6	-124.260E-3
-1.000E-6	-114.620E-3
-900.000E-9	-104.950E-3
-800.000E-9	-95.260E-3
-700.000E-9	-85.560E-3
-600.000E-9	-75.850E-3
-500.000E-9	-66.140E-3
-400.000E-9	-56.420E-3
-300.000E-9	-46.700E-3
-200.000E-9	-36.970E-3
-100.000E-9	-27.240E-3
0.000E+0	-17.510E-3
100.000E-9	-7.780E-3
200.000E-9	1.940E-3
300.000E-9	11.670E-3
400.000E-9	21.400E-3
500.000E-9	31.140E-3
600.000E-9	40.870E-3
700.000E-9	50.610E-3
800.000E-9	60.340E-3
900.000E-9	70.070E-3
1.000E-6	79.810E-3
1.100E-6	89.540E-3
1.200E-6	99.280E-3
1.300E-6	109.020E-3
1.400E-6	118.760E-3
1.500E-6	128.490E-3
1.600E-6	138.220E-3
1.700E-6	147.950E-3
1.800E-6	157.690E-3
1.900E-6	167.420E-3
2.000E-6	177.160E-3
