Extended_Flutes_17-Nov-20_4:50:54 PM	Left_PQC4_CBKRPoly_r
Temperature(C)= 22.8	Humidity(%)= 7.1
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-9	-12.630E-3
-95.000E-9	-12.630E-3
-90.000E-9	-12.400E-3
-85.000E-9	-11.980E-3
-80.000E-9	-11.620E-3
-75.000E-9	-11.140E-3
-70.000E-9	-10.410E-3
-65.000E-9	-9.920E-3
-60.000E-9	-9.130E-3
-55.000E-9	-8.390E-3
-50.000E-9	-7.700E-3
-45.000E-9	-7.010E-3
-40.000E-9	-6.630E-3
-35.000E-9	-6.190E-3
-30.000E-9	-5.420E-3
-25.000E-9	-4.910E-3
-20.000E-9	-4.400E-3
-15.000E-9	-3.810E-3
-10.000E-9	-2.900E-3
-5.000E-9	-2.380E-3
0.000E+0	-1.450E-3
5.000E-9	-920.000E-6
10.000E-9	-120.000E-6
15.000E-9	680.000E-6
20.000E-9	1.420E-3
25.000E-9	1.890E-3
30.000E-9	2.370E-3
35.000E-9	3.200E-3
40.000E-9	3.750E-3
45.000E-9	4.650E-3
50.000E-9	5.480E-3
55.000E-9	6.250E-3
60.000E-9	7.020E-3
65.000E-9	7.450E-3
70.000E-9	8.220E-3
75.000E-9	9.010E-3
80.000E-9	9.790E-3
85.000E-9	10.580E-3
90.000E-9	11.300E-3
95.000E-9	12.020E-3
100.000E-9	12.740E-3
