Extended_Flutes_23-Nov-20_1:22:11 PM	Right_PQC4_CBKRPoly_s
Temperature(C)= 21.1	Humidity(%)= 13.8
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-9	-13.800E-3
-95.000E-9	-13.740E-3
-90.000E-9	-13.490E-3
-85.000E-9	-13.030E-3
-80.000E-9	-12.390E-3
-75.000E-9	-11.730E-3
-70.000E-9	-11.070E-3
-65.000E-9	-10.400E-3
-60.000E-9	-9.710E-3
-55.000E-9	-9.030E-3
-50.000E-9	-8.350E-3
-45.000E-9	-7.660E-3
-40.000E-9	-6.970E-3
-35.000E-9	-6.260E-3
-30.000E-9	-5.550E-3
-25.000E-9	-4.840E-3
-20.000E-9	-4.120E-3
-15.000E-9	-3.400E-3
-10.000E-9	-2.670E-3
-5.000E-9	-1.940E-3
0.000E+0	-1.200E-3
5.000E-9	-460.000E-6
10.000E-9	280.000E-6
15.000E-9	1.030E-3
20.000E-9	1.780E-3
25.000E-9	2.540E-3
30.000E-9	3.310E-3
35.000E-9	4.080E-3
40.000E-9	4.850E-3
45.000E-9	5.630E-3
50.000E-9	6.410E-3
55.000E-9	7.190E-3
60.000E-9	7.980E-3
65.000E-9	8.770E-3
70.000E-9	9.570E-3
75.000E-9	10.370E-3
80.000E-9	11.180E-3
85.000E-9	11.990E-3
90.000E-9	12.790E-3
95.000E-9	13.610E-3
100.000E-9	14.420E-3
