Extended_Flutes_13-Nov-20_2:22:19 PM	Left_PQC4_CBKRPoly_r
Temperature(C)= 23.3	Humidity(%)= 7.1
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-9	-11.070E-3
-95.000E-9	-11.020E-3
-90.000E-9	-10.810E-3
-85.000E-9	-10.450E-3
-80.000E-9	-9.920E-3
-75.000E-9	-9.390E-3
-70.000E-9	-8.850E-3
-65.000E-9	-8.530E-3
-60.000E-9	-8.150E-3
-55.000E-9	-7.710E-3
-50.000E-9	-7.010E-3
-45.000E-9	-6.290E-3
-40.000E-9	-5.630E-3
-35.000E-9	-5.020E-3
-30.000E-9	-4.460E-3
-25.000E-9	-3.900E-3
-20.000E-9	-3.560E-3
-15.000E-9	-2.930E-3
-10.000E-9	-2.540E-3
-5.000E-9	-2.080E-3
0.000E+0	-1.330E-3
5.000E-9	-630.000E-6
10.000E-9	60.000E-6
15.000E-9	700.000E-6
20.000E-9	1.290E-3
25.000E-9	1.880E-3
30.000E-9	2.470E-3
35.000E-9	3.070E-3
40.000E-9	3.670E-3
45.000E-9	4.030E-3
50.000E-9	4.700E-3
55.000E-9	5.120E-3
60.000E-9	5.600E-3
65.000E-9	6.090E-3
70.000E-9	6.640E-3
75.000E-9	7.490E-3
80.000E-9	8.040E-3
85.000E-9	8.900E-3
90.000E-9	9.650E-3
95.000E-9	10.340E-3
100.000E-9	11.030E-3
