Extended_Flutes_20-Nov-20_5:25:05 PM	Right_PQC4_CBKRPoly_r
Temperature(C)= 22.0	Humidity(%)= 13.8
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-9	-10.430E-3
-95.000E-9	-10.420E-3
-90.000E-9	-10.320E-3
-85.000E-9	-9.960E-3
-80.000E-9	-9.460E-3
-75.000E-9	-8.850E-3
-70.000E-9	-8.300E-3
-65.000E-9	-7.790E-3
-60.000E-9	-7.290E-3
-55.000E-9	-6.770E-3
-50.000E-9	-6.250E-3
-45.000E-9	-5.730E-3
-40.000E-9	-5.200E-3
-35.000E-9	-4.680E-3
-30.000E-9	-4.360E-3
-25.000E-9	-3.780E-3
-20.000E-9	-3.200E-3
-15.000E-9	-2.830E-3
-10.000E-9	-2.400E-3
-5.000E-9	-1.760E-3
0.000E+0	-1.120E-3
5.000E-9	-470.000E-6
10.000E-9	110.000E-6
15.000E-9	650.000E-6
20.000E-9	1.200E-3
25.000E-9	1.750E-3
30.000E-9	2.300E-3
35.000E-9	2.850E-3
40.000E-9	3.400E-3
45.000E-9	3.960E-3
50.000E-9	4.510E-3
55.000E-9	5.070E-3
60.000E-9	5.630E-3
65.000E-9	6.190E-3
70.000E-9	6.750E-3
75.000E-9	7.320E-3
80.000E-9	7.880E-3
85.000E-9	8.450E-3
90.000E-9	9.010E-3
95.000E-9	9.580E-3
100.000E-9	10.150E-3
