Custom_Flutes_23-Nov-20_4:30:10 PM	Left_PQC4_CBKRPoly_r
Temperature(C)= 21.7	Humidity(%)= 12.2
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-9	-11.370E-3
-95.000E-9	-11.320E-3
-90.000E-9	-11.100E-3
-85.000E-9	-10.730E-3
-80.000E-9	-10.180E-3
-75.000E-9	-9.630E-3
-70.000E-9	-9.070E-3
-65.000E-9	-8.520E-3
-60.000E-9	-7.970E-3
-55.000E-9	-7.410E-3
-50.000E-9	-6.840E-3
-45.000E-9	-6.270E-3
-40.000E-9	-5.710E-3
-35.000E-9	-5.140E-3
-30.000E-9	-4.570E-3
-25.000E-9	-3.990E-3
-20.000E-9	-3.410E-3
-15.000E-9	-2.820E-3
-10.000E-9	-2.240E-3
-5.000E-9	-1.650E-3
0.000E+0	-1.060E-3
5.000E-9	-460.000E-6
10.000E-9	120.000E-6
15.000E-9	720.000E-6
20.000E-9	1.320E-3
25.000E-9	1.930E-3
30.000E-9	2.540E-3
35.000E-9	3.150E-3
40.000E-9	3.760E-3
45.000E-9	4.380E-3
50.000E-9	5.000E-3
55.000E-9	5.620E-3
60.000E-9	6.250E-3
65.000E-9	6.880E-3
70.000E-9	7.510E-3
75.000E-9	8.130E-3
80.000E-9	8.750E-3
85.000E-9	9.370E-3
90.000E-9	9.990E-3
95.000E-9	10.630E-3
100.000E-9	11.270E-3
