Extended_Flutes_12-Nov-20_1:23:34 PM	Left_PQC4_CBKRPoly_r
Temperature(C)= 22.2	Humidity(%)= 7.3
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-9	-12.730E-3
-95.000E-9	-12.670E-3
-90.000E-9	-12.540E-3
-85.000E-9	-12.280E-3
-80.000E-9	-11.910E-3
-75.000E-9	-11.400E-3
-70.000E-9	-10.530E-3
-65.000E-9	-9.970E-3
-60.000E-9	-9.420E-3
-55.000E-9	-8.550E-3
-50.000E-9	-7.800E-3
-45.000E-9	-7.300E-3
-40.000E-9	-6.550E-3
-35.000E-9	-5.860E-3
-30.000E-9	-5.410E-3
-25.000E-9	-4.640E-3
-20.000E-9	-4.180E-3
-15.000E-9	-3.400E-3
-10.000E-9	-2.610E-3
-5.000E-9	-1.890E-3
0.000E+0	-1.170E-3
5.000E-9	-510.000E-6
10.000E-9	-110.000E-6
15.000E-9	610.000E-6
20.000E-9	1.350E-3
25.000E-9	2.090E-3
30.000E-9	2.560E-3
35.000E-9	3.030E-3
40.000E-9	3.840E-3
45.000E-9	4.660E-3
50.000E-9	5.490E-3
55.000E-9	6.250E-3
60.000E-9	6.920E-3
65.000E-9	7.330E-3
70.000E-9	8.090E-3
75.000E-9	8.580E-3
80.000E-9	9.420E-3
85.000E-9	10.270E-3
90.000E-9	11.060E-3
95.000E-9	11.810E-3
100.000E-9	12.520E-3
