Extended_Flutes_18-Nov-20_12:06:39 PM	Left_PQC4_CBKRPoly_r
Temperature(C)= 22.0	Humidity(%)= 7.1
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-9	-11.760E-3
-95.000E-9	-11.710E-3
-90.000E-9	-11.480E-3
-85.000E-9	-11.090E-3
-80.000E-9	-10.750E-3
-75.000E-9	-10.140E-3
-70.000E-9	-9.740E-3
-65.000E-9	-9.060E-3
-60.000E-9	-8.600E-3
-55.000E-9	-7.910E-3
-50.000E-9	-7.210E-3
-45.000E-9	-6.570E-3
-40.000E-9	-6.160E-3
-35.000E-9	-5.510E-3
-30.000E-9	-4.850E-3
-25.000E-9	-4.200E-3
-20.000E-9	-3.540E-3
-15.000E-9	-3.170E-3
-10.000E-9	-2.510E-3
-5.000E-9	-1.830E-3
0.000E+0	-1.160E-3
5.000E-9	-480.000E-6
10.000E-9	-110.000E-6
15.000E-9	560.000E-6
20.000E-9	1.250E-3
25.000E-9	1.940E-3
30.000E-9	2.630E-3
35.000E-9	3.260E-3
40.000E-9	3.890E-3
45.000E-9	4.530E-3
50.000E-9	5.160E-3
55.000E-9	5.810E-3
60.000E-9	6.460E-3
65.000E-9	7.110E-3
70.000E-9	7.760E-3
75.000E-9	8.420E-3
80.000E-9	9.090E-3
85.000E-9	9.740E-3
90.000E-9	10.410E-3
95.000E-9	11.070E-3
100.000E-9	11.460E-3
