Custom_Flutes_23-Nov-20_4:45:52 PM	Right_PQC4_CBKRPoly_s
Temperature(C)= 21.7	Humidity(%)= 8.6
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-9	-10.580E-3
-95.000E-9	-10.530E-3
-90.000E-9	-10.310E-3
-85.000E-9	-10.100E-3
-80.000E-9	-9.560E-3
-75.000E-9	-8.950E-3
-70.000E-9	-8.540E-3
-65.000E-9	-7.860E-3
-60.000E-9	-7.240E-3
-55.000E-9	-6.610E-3
-50.000E-9	-5.990E-3
-45.000E-9	-5.420E-3
-40.000E-9	-5.070E-3
-35.000E-9	-4.430E-3
-30.000E-9	-3.780E-3
-25.000E-9	-3.360E-3
-20.000E-9	-2.890E-3
-15.000E-9	-2.170E-3
-10.000E-9	-1.690E-3
-5.000E-9	-910.000E-6
0.000E+0	-180.000E-6
5.000E-9	480.000E-6
10.000E-9	1.150E-3
15.000E-9	1.760E-3
20.000E-9	2.380E-3
25.000E-9	3.000E-3
30.000E-9	3.380E-3
35.000E-9	4.070E-3
40.000E-9	4.760E-3
45.000E-9	5.200E-3
50.000E-9	5.970E-3
55.000E-9	6.670E-3
60.000E-9	7.380E-3
65.000E-9	7.830E-3
70.000E-9	8.290E-3
75.000E-9	9.080E-3
80.000E-9	9.880E-3
85.000E-9	10.670E-3
90.000E-9	11.130E-3
95.000E-9	11.830E-3
100.000E-9	12.270E-3
