Extended_Flutes_13-Nov-20_3:24:32 PM	Right_PQC4_CBKRPoly_r
Temperature(C)= 23.6	Humidity(%)= 6.3
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-9	-7.960E-3
-95.000E-9	-7.960E-3
-90.000E-9	-7.810E-3
-85.000E-9	-7.530E-3
-80.000E-9	-7.130E-3
-75.000E-9	-6.690E-3
-70.000E-9	-6.300E-3
-65.000E-9	-5.910E-3
-60.000E-9	-5.520E-3
-55.000E-9	-5.280E-3
-50.000E-9	-4.850E-3
-45.000E-9	-4.420E-3
-40.000E-9	-3.980E-3
-35.000E-9	-3.550E-3
-30.000E-9	-3.150E-3
-25.000E-9	-2.750E-3
-20.000E-9	-2.350E-3
-15.000E-9	-2.110E-3
-10.000E-9	-1.660E-3
-5.000E-9	-1.220E-3
0.000E+0	-770.000E-6
5.000E-9	-320.000E-6
10.000E-9	80.000E-6
15.000E-9	490.000E-6
20.000E-9	910.000E-6
25.000E-9	1.320E-3
30.000E-9	1.740E-3
35.000E-9	2.150E-3
40.000E-9	2.570E-3
45.000E-9	2.990E-3
50.000E-9	3.420E-3
55.000E-9	3.840E-3
60.000E-9	4.260E-3
65.000E-9	4.690E-3
70.000E-9	5.110E-3
75.000E-9	5.530E-3
80.000E-9	5.960E-3
85.000E-9	6.390E-3
90.000E-9	6.640E-3
95.000E-9	6.950E-3
100.000E-9	7.450E-3
