Extended_Flutes_18-Nov-20_12:06:39 PM	Left_PQC4_CBKRPoly_s
Temperature(C)= 22.0	Humidity(%)= 7.1
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-9	-11.630E-3
-95.000E-9	-11.580E-3
-90.000E-9	-11.360E-3
-85.000E-9	-11.140E-3
-80.000E-9	-10.590E-3
-75.000E-9	-10.190E-3
-70.000E-9	-9.510E-3
-65.000E-9	-8.820E-3
-60.000E-9	-8.420E-3
-55.000E-9	-7.970E-3
-50.000E-9	-7.280E-3
-45.000E-9	-6.570E-3
-40.000E-9	-5.870E-3
-35.000E-9	-5.220E-3
-30.000E-9	-4.620E-3
-25.000E-9	-4.030E-3
-20.000E-9	-3.430E-3
-15.000E-9	-3.060E-3
-10.000E-9	-2.400E-3
-5.000E-9	-1.970E-3
0.000E+0	-1.240E-3
5.000E-9	-750.000E-6
10.000E-9	-0.000E+0
15.000E-9	730.000E-6
20.000E-9	1.420E-3
25.000E-9	2.110E-3
30.000E-9	2.740E-3
35.000E-9	3.120E-3
40.000E-9	3.820E-3
45.000E-9	4.520E-3
50.000E-9	5.220E-3
55.000E-9	5.930E-3
60.000E-9	6.570E-3
65.000E-9	7.230E-3
70.000E-9	7.620E-3
75.000E-9	8.340E-3
80.000E-9	9.060E-3
85.000E-9	9.790E-3
90.000E-9	10.520E-3
95.000E-9	11.180E-3
100.000E-9	11.860E-3
