Extended_Flutes_13-Nov-20_2:22:19 PM	Left_PQC4_CBKRPoly_s
Temperature(C)= 23.3	Humidity(%)= 7.1
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-9	-11.020E-3
-95.000E-9	-11.020E-3
-90.000E-9	-10.810E-3
-85.000E-9	-10.600E-3
-80.000E-9	-10.060E-3
-75.000E-9	-9.430E-3
-70.000E-9	-9.050E-3
-65.000E-9	-8.410E-3
-60.000E-9	-7.810E-3
-55.000E-9	-7.210E-3
-50.000E-9	-6.830E-3
-45.000E-9	-6.230E-3
-40.000E-9	-5.620E-3
-35.000E-9	-5.010E-3
-30.000E-9	-4.390E-3
-25.000E-9	-3.820E-3
-20.000E-9	-3.260E-3
-15.000E-9	-2.920E-3
-10.000E-9	-2.290E-3
-5.000E-9	-1.890E-3
0.000E+0	-1.200E-3
5.000E-9	-740.000E-6
10.000E-9	-40.000E-6
15.000E-9	650.000E-6
20.000E-9	1.290E-3
25.000E-9	1.930E-3
30.000E-9	2.520E-3
35.000E-9	3.120E-3
40.000E-9	3.480E-3
45.000E-9	4.140E-3
50.000E-9	4.790E-3
55.000E-9	5.460E-3
60.000E-9	6.120E-3
65.000E-9	6.730E-3
70.000E-9	7.340E-3
75.000E-9	7.950E-3
80.000E-9	8.560E-3
85.000E-9	9.180E-3
90.000E-9	9.550E-3
95.000E-9	10.230E-3
100.000E-9	10.680E-3
