Extended_Flutes_17-Nov-20_5:48:21 PM	Right_PQC4_CBKRPoly_r
Temperature(C)= 22.9	Humidity(%)= 6.0
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-9	-13.420E-3
-95.000E-9	-13.420E-3
-90.000E-9	-13.170E-3
-85.000E-9	-12.730E-3
-80.000E-9	-12.350E-3
-75.000E-9	-11.840E-3
-70.000E-9	-11.080E-3
-65.000E-9	-10.560E-3
-60.000E-9	-9.720E-3
-55.000E-9	-8.940E-3
-50.000E-9	-8.480E-3
-45.000E-9	-7.680E-3
-40.000E-9	-6.940E-3
-35.000E-9	-6.200E-3
-30.000E-9	-5.450E-3
-25.000E-9	-5.040E-3
-20.000E-9	-4.560E-3
-15.000E-9	-3.730E-3
-10.000E-9	-3.170E-3
-5.000E-9	-2.260E-3
0.000E+0	-1.410E-3
5.000E-9	-910.000E-6
10.000E-9	-60.000E-6
15.000E-9	720.000E-6
20.000E-9	1.520E-3
25.000E-9	2.320E-3
30.000E-9	3.050E-3
35.000E-9	3.790E-3
40.000E-9	4.530E-3
45.000E-9	5.270E-3
50.000E-9	6.020E-3
55.000E-9	6.470E-3
60.000E-9	7.290E-3
65.000E-9	7.820E-3
70.000E-9	8.740E-3
75.000E-9	9.350E-3
80.000E-9	10.270E-3
85.000E-9	10.890E-3
90.000E-9	11.820E-3
95.000E-9	12.440E-3
100.000E-9	13.370E-3
