Extended_Flutes_18-Nov-20_10:40:59 AM	Right_PQC4_CBKRPoly_s
Temperature(C)= 21.0	Humidity(%)= 6.3
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-9	-16.250E-3
-95.000E-9	-16.170E-3
-90.000E-9	-16.010E-3
-85.000E-9	-15.700E-3
-80.000E-9	-14.930E-3
-75.000E-9	-14.320E-3
-70.000E-9	-13.320E-3
-65.000E-9	-12.370E-3
-60.000E-9	-11.500E-3
-55.000E-9	-10.950E-3
-50.000E-9	-10.070E-3
-45.000E-9	-9.190E-3
-40.000E-9	-8.620E-3
-35.000E-9	-7.970E-3
-30.000E-9	-6.960E-3
-25.000E-9	-5.950E-3
-20.000E-9	-4.930E-3
-15.000E-9	-4.330E-3
-10.000E-9	-3.390E-3
-5.000E-9	-2.440E-3
0.000E+0	-1.480E-3
5.000E-9	-520.000E-6
10.000E-9	0.000E+0
15.000E-9	630.000E-6
20.000E-9	1.340E-3
25.000E-9	2.520E-3
30.000E-9	3.250E-3
35.000E-9	4.070E-3
40.000E-9	5.350E-3
45.000E-9	6.460E-3
50.000E-9	7.210E-3
55.000E-9	7.960E-3
60.000E-9	8.720E-3
65.000E-9	9.950E-3
70.000E-9	10.710E-3
75.000E-9	12.040E-3
80.000E-9	12.810E-3
85.000E-9	13.590E-3
90.000E-9	14.860E-3
95.000E-9	16.030E-3
100.000E-9	17.190E-3
