Extended_Flutes_20-Nov-20_10:53:07 AM	Left_PQC4_CBKRPoly_s
Temperature(C)= 20.6	Humidity(%)= 6.4
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-9	-9.950E-3
-95.000E-9	-9.950E-3
-90.000E-9	-9.760E-3
-85.000E-9	-9.410E-3
-80.000E-9	-9.120E-3
-75.000E-9	-8.540E-3
-70.000E-9	-8.190E-3
-65.000E-9	-7.800E-3
-60.000E-9	-7.160E-3
-55.000E-9	-6.760E-3
-50.000E-9	-6.120E-3
-45.000E-9	-5.520E-3
-40.000E-9	-5.170E-3
-35.000E-9	-4.770E-3
-30.000E-9	-4.370E-3
-25.000E-9	-3.710E-3
-20.000E-9	-3.040E-3
-15.000E-9	-2.430E-3
-10.000E-9	-2.070E-3
-5.000E-9	-1.500E-3
0.000E+0	-930.000E-6
5.000E-9	-360.000E-6
10.000E-9	-0.000E+0
15.000E-9	560.000E-6
20.000E-9	1.140E-3
25.000E-9	1.720E-3
30.000E-9	2.290E-3
35.000E-9	2.830E-3
40.000E-9	3.150E-3
45.000E-9	3.730E-3
50.000E-9	4.320E-3
55.000E-9	4.920E-3
60.000E-9	5.300E-3
65.000E-9	5.890E-3
70.000E-9	6.480E-3
75.000E-9	7.070E-3
80.000E-9	7.670E-3
85.000E-9	8.220E-3
90.000E-9	8.780E-3
95.000E-9	9.330E-3
100.000E-9	9.880E-3
