Extended_Flutes_17-Nov-20_5:48:21 PM	Right_PQC4_CBKRPoly_s
Temperature(C)= 22.9	Humidity(%)= 6.0
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-9	-13.280E-3
-95.000E-9	-13.280E-3
-90.000E-9	-13.030E-3
-85.000E-9	-12.600E-3
-80.000E-9	-12.220E-3
-75.000E-9	-11.460E-3
-70.000E-9	-11.010E-3
-65.000E-9	-10.500E-3
-60.000E-9	-9.660E-3
-55.000E-9	-8.870E-3
-50.000E-9	-8.080E-3
-45.000E-9	-7.360E-3
-40.000E-9	-6.690E-3
-35.000E-9	-6.010E-3
-30.000E-9	-5.330E-3
-25.000E-9	-4.650E-3
-20.000E-9	-3.960E-3
-15.000E-9	-3.270E-3
-10.000E-9	-2.850E-3
-5.000E-9	-2.080E-3
0.000E+0	-1.300E-3
5.000E-9	-520.000E-6
10.000E-9	260.000E-6
15.000E-9	690.000E-6
20.000E-9	1.490E-3
25.000E-9	2.290E-3
30.000E-9	3.090E-3
35.000E-9	3.600E-3
40.000E-9	4.420E-3
45.000E-9	5.240E-3
50.000E-9	6.060E-3
55.000E-9	6.580E-3
60.000E-9	7.420E-3
65.000E-9	8.250E-3
70.000E-9	9.090E-3
75.000E-9	9.930E-3
80.000E-9	10.690E-3
85.000E-9	11.460E-3
90.000E-9	12.230E-3
95.000E-9	13.010E-3
100.000E-9	13.780E-3
