Extended_Flutes_23-Nov-20_9:48:46 AM	Left_PQC4_CBKRPoly_s
Temperature(C)= 19.3	Humidity(%)= 7.5
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-9	-14.020E-3
-95.000E-9	-13.970E-3
-90.000E-9	-13.850E-3
-85.000E-9	-13.400E-3
-80.000E-9	-13.010E-3
-75.000E-9	-12.480E-3
-70.000E-9	-11.600E-3
-65.000E-9	-11.060E-3
-60.000E-9	-10.510E-3
-55.000E-9	-9.530E-3
-50.000E-9	-8.700E-3
-45.000E-9	-7.850E-3
-40.000E-9	-7.070E-3
-35.000E-9	-6.640E-3
-30.000E-9	-6.140E-3
-25.000E-9	-5.260E-3
-20.000E-9	-4.390E-3
-15.000E-9	-3.510E-3
-10.000E-9	-2.990E-3
-5.000E-9	-2.170E-3
0.000E+0	-1.340E-3
5.000E-9	-510.000E-6
10.000E-9	320.000E-6
15.000E-9	1.080E-3
20.000E-9	1.550E-3
25.000E-9	2.400E-3
30.000E-9	3.270E-3
35.000E-9	4.130E-3
40.000E-9	5.000E-3
45.000E-9	5.790E-3
50.000E-9	6.590E-3
55.000E-9	7.390E-3
60.000E-9	8.200E-3
65.000E-9	8.690E-3
70.000E-9	9.590E-3
75.000E-9	10.500E-3
80.000E-9	11.080E-3
85.000E-9	11.750E-3
90.000E-9	12.770E-3
95.000E-9	13.790E-3
100.000E-9	14.800E-3
