Extended_Flutes_20-Nov-20_4:17:55 PM	Left_PQC4_CBKRPoly_s
Temperature(C)= 22.0	Humidity(%)= 6.7
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-9	-10.980E-3
-95.000E-9	-10.980E-3
-90.000E-9	-10.770E-3
-85.000E-9	-10.400E-3
-80.000E-9	-9.880E-3
-75.000E-9	-9.300E-3
-70.000E-9	-8.980E-3
-65.000E-9	-8.390E-3
-60.000E-9	-7.800E-3
-55.000E-9	-7.210E-3
-50.000E-9	-6.610E-3
-45.000E-9	-6.060E-3
-40.000E-9	-5.510E-3
-35.000E-9	-5.170E-3
-30.000E-9	-4.560E-3
-25.000E-9	-3.940E-3
-20.000E-9	-3.540E-3
-15.000E-9	-2.860E-3
-10.000E-9	-2.460E-3
-5.000E-9	-2.000E-3
0.000E+0	-1.250E-3
5.000E-9	-790.000E-6
10.000E-9	-30.000E-6
15.000E-9	660.000E-6
20.000E-9	1.300E-3
25.000E-9	1.960E-3
30.000E-9	2.550E-3
35.000E-9	3.150E-3
40.000E-9	3.750E-3
45.000E-9	4.350E-3
50.000E-9	4.950E-3
55.000E-9	5.560E-3
60.000E-9	5.930E-3
65.000E-9	6.610E-3
70.000E-9	7.290E-3
75.000E-9	7.720E-3
80.000E-9	8.460E-3
85.000E-9	9.150E-3
90.000E-9	9.830E-3
95.000E-9	10.520E-3
100.000E-9	10.910E-3
