Extended_Flutes_19-Nov-20_5:39:54 PM	Left_PQC4_CBKRPoly_s
Temperature(C)= 22.6	Humidity(%)= 6.4
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-9	-8.940E-3
-95.000E-9	-8.890E-3
-90.000E-9	-8.710E-3
-85.000E-9	-8.530E-3
-80.000E-9	-8.090E-3
-75.000E-9	-7.620E-3
-70.000E-9	-7.320E-3
-65.000E-9	-6.790E-3
-60.000E-9	-6.300E-3
-55.000E-9	-5.810E-3
-50.000E-9	-5.500E-3
-45.000E-9	-5.010E-3
-40.000E-9	-4.510E-3
-35.000E-9	-4.200E-3
-30.000E-9	-3.830E-3
-25.000E-9	-3.290E-3
-20.000E-9	-2.930E-3
-15.000E-9	-2.330E-3
-10.000E-9	-1.780E-3
-5.000E-9	-1.450E-3
0.000E+0	-900.000E-6
5.000E-9	-390.000E-6
10.000E-9	120.000E-6
15.000E-9	630.000E-6
20.000E-9	1.100E-3
25.000E-9	1.580E-3
30.000E-9	2.060E-3
35.000E-9	2.530E-3
40.000E-9	2.820E-3
45.000E-9	3.350E-3
50.000E-9	3.880E-3
55.000E-9	4.410E-3
60.000E-9	4.940E-3
65.000E-9	5.420E-3
70.000E-9	5.900E-3
75.000E-9	6.390E-3
80.000E-9	6.890E-3
85.000E-9	7.390E-3
90.000E-9	7.890E-3
95.000E-9	8.190E-3
100.000E-9	8.540E-3
