Extended_Flutes_11-Nov-20_2:02:02 PM	Left_PQC4_CBKRPoly_s
Temperature(C)= 23.4	Humidity(%)= 8.0
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-9	-11.360E-3
-95.000E-9	-11.360E-3
-90.000E-9	-11.140E-3
-85.000E-9	-10.750E-3
-80.000E-9	-10.200E-3
-75.000E-9	-9.600E-3
-70.000E-9	-9.270E-3
-65.000E-9	-8.680E-3
-60.000E-9	-8.080E-3
-55.000E-9	-7.460E-3
-50.000E-9	-6.850E-3
-45.000E-9	-6.280E-3
-40.000E-9	-5.710E-3
-35.000E-9	-5.140E-3
-30.000E-9	-4.800E-3
-25.000E-9	-4.150E-3
-20.000E-9	-3.510E-3
-15.000E-9	-3.090E-3
-10.000E-9	-2.380E-3
-5.000E-9	-1.730E-3
0.000E+0	-1.080E-3
5.000E-9	-420.000E-6
10.000E-9	170.000E-6
15.000E-9	540.000E-6
20.000E-9	1.200E-3
25.000E-9	1.870E-3
30.000E-9	2.540E-3
35.000E-9	3.220E-3
40.000E-9	3.840E-3
45.000E-9	4.480E-3
50.000E-9	5.110E-3
55.000E-9	5.740E-3
60.000E-9	6.380E-3
65.000E-9	7.020E-3
70.000E-9	7.660E-3
75.000E-9	8.300E-3
80.000E-9	8.690E-3
85.000E-9	9.420E-3
90.000E-9	9.870E-3
95.000E-9	10.390E-3
100.000E-9	11.250E-3
