Extended_Flutes_18-Nov-20_6:26:51 PM	Right_PQC4_CBKRPoly_r
Temperature(C)= 23.6	Humidity(%)= 5.7
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-9	-13.730E-3
-95.000E-9	-13.720E-3
-90.000E-9	-13.460E-3
-85.000E-9	-13.200E-3
-80.000E-9	-12.820E-3
-75.000E-9	-11.980E-3
-70.000E-9	-11.190E-3
-65.000E-9	-10.660E-3
-60.000E-9	-10.130E-3
-55.000E-9	-9.330E-3
-50.000E-9	-8.530E-3
-45.000E-9	-7.990E-3
-40.000E-9	-7.440E-3
-35.000E-9	-6.610E-3
-30.000E-9	-5.780E-3
-25.000E-9	-4.940E-3
-20.000E-9	-4.170E-3
-15.000E-9	-3.750E-3
-10.000E-9	-2.960E-3
-5.000E-9	-2.170E-3
0.000E+0	-1.370E-3
5.000E-9	-860.000E-6
10.000E-9	-350.000E-6
15.000E-9	520.000E-6
20.000E-9	1.410E-3
25.000E-9	2.300E-3
30.000E-9	3.120E-3
35.000E-9	3.870E-3
40.000E-9	4.630E-3
45.000E-9	5.390E-3
50.000E-9	5.850E-3
55.000E-9	6.710E-3
60.000E-9	7.560E-3
65.000E-9	8.420E-3
70.000E-9	9.290E-3
75.000E-9	10.080E-3
80.000E-9	10.870E-3
85.000E-9	11.660E-3
90.000E-9	12.450E-3
95.000E-9	12.930E-3
100.000E-9	13.810E-3
