Extended_Flutes_20-Nov-20_2:50:24 PM	Right_PQC4_CBKRPoly_r
Temperature(C)= 21.8	Humidity(%)= 13.0
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-9	-7.840E-3
-95.000E-9	-7.850E-3
-90.000E-9	-7.690E-3
-85.000E-9	-7.420E-3
-80.000E-9	-7.030E-3
-75.000E-9	-6.610E-3
-70.000E-9	-6.370E-3
-65.000E-9	-5.950E-3
-60.000E-9	-5.510E-3
-55.000E-9	-5.240E-3
-50.000E-9	-4.760E-3
-45.000E-9	-4.320E-3
-40.000E-9	-3.890E-3
-35.000E-9	-3.450E-3
-30.000E-9	-3.060E-3
-25.000E-9	-2.670E-3
-20.000E-9	-2.430E-3
-15.000E-9	-2.000E-3
-10.000E-9	-1.570E-3
-5.000E-9	-1.290E-3
0.000E+0	-820.000E-6
5.000E-9	-390.000E-6
10.000E-9	40.000E-6
15.000E-9	470.000E-6
20.000E-9	870.000E-6
25.000E-9	1.260E-3
30.000E-9	1.660E-3
35.000E-9	2.060E-3
40.000E-9	2.450E-3
45.000E-9	2.850E-3
50.000E-9	3.240E-3
55.000E-9	3.640E-3
60.000E-9	4.030E-3
65.000E-9	4.430E-3
70.000E-9	4.680E-3
75.000E-9	5.120E-3
80.000E-9	5.560E-3
85.000E-9	6.000E-3
90.000E-9	6.440E-3
95.000E-9	6.830E-3
100.000E-9	7.230E-3
